(4, 3, {'free_bw': 10.79678048780481, 'delay': 2.0078420639038086, 'loss': 0.00018560890886765686, 'used_bw': 7.20321951219519, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 33.54})
(4, 8, {'free_bw': 9.999904038384646, 'delay': 2.723574638366699, 'loss': 0.0, 'used_bw': 9.596161535385936e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 5, {'free_bw': 26.99985605757697, 'delay': 2.360820770263672, 'loss': 0.0, 'used_bw': 0.00014394242303078907, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 3.8669012395041307, 'delay': 2.585291862487793, 'loss': 0.0003712028688357475, 'used_bw': 7.133098760495869, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 25.0})
(3, 5, {'free_bw': 24.999904038384646, 'delay': 3.216862678527832, 'loss': 0.0, 'used_bw': 9.596161535385936e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999904038384646, 'delay': 2.141118049621582, 'loss': 0.0, 'used_bw': 9.596161535385936e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 20.42189966957046, 'delay': 2.2679567337036133, 'loss': 0.0003712808000628702, 'used_bw': 2.5781003304295376, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 31.62})
(7, 6, {'free_bw': 10.421289818800572, 'delay': 2.5551319122314453, 'loss': 0.0003636859170949298, 'used_bw': 2.578710181199428, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 31.62})
(7, 12, {'free_bw': 12.421524190323845, 'delay': 2.0895004272460938, 'loss': 0.0003635928727202933, 'used_bw': 2.578475809676154, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 30.0})
(7, 8, {'free_bw': 23.999904019196162, 'delay': 2.819180488586426, 'loss': 0.0, 'used_bw': 9.598080383923697e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.999904019196162, 'delay': 0, 'loss': 0.0, 'used_bw': 9.598080383923697e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 24.411131131131096, 'delay': 2.151012420654297, 'loss': 0.0005771202260352575, 'used_bw': 1.5888688688689034, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 38.08})
(8, 11, {'free_bw': 27.422865378840953, 'delay': 0, 'loss': 0.0, 'used_bw': 1.5771346211590456, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.31})
(10, 9, {'free_bw': 29.4882431513697, 'delay': 0, 'loss': 0.0009090465836789776, 'used_bw': 0.5117568486302996, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 31.62})
(10, 16, {'free_bw': 19.494297940411894, 'delay': 0, 'loss': 0.0, 'used_bw': 0.5057020595881078, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(9, 2, {'free_bw': 20.999904019196162, 'delay': 2.7850866317749023, 'loss': 0.0, 'used_bw': 9.598080383923697e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(9, 1, {'free_bw': 25.487478504299116, 'delay': 1.8796920776367188, 'loss': 0.0009275061215404021, 'used_bw': 0.5125214957008856, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 31.62})
(12, 14, {'free_bw': 18.999904038384646, 'delay': 2.741575241088867, 'loss': 0.0, 'used_bw': 9.596161535385936e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(12, 11, {'free_bw': 17.39335945621745, 'delay': 0, 'loss': 0.00018467917254328853, 'used_bw': 6.60664054378255, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 50.0})
(12, 13, {'free_bw': 15.437263494602135, 'delay': 3.894686698913574, 'loss': 0.0007272553773235052, 'used_bw': 2.562736505397865, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 31.62})
(16, 11, {'free_bw': 18.99985602879424, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00014397120575884237, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.99})
(16, 15, {'free_bw': 24.999904019196162, 'delay': 1.4661550521850586, 'loss': 0.0, 'used_bw': 9.598080383923697e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(16, 17, {'free_bw': 23.686014797040475, 'delay': 3.085494041442871, 'loss': 0.00029488557166449904, 'used_bw': 2.3139852029595245, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 50.0})
(11, 15, {'free_bw': 29.99985602879424, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00014397120575884237, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 14, {'free_bw': 28.450713057388587, 'delay': 0, 'loss': 0.0, 'used_bw': 1.5492869426114146, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(15, 14, {'free_bw': 27.999904019196162, 'delay': 12.928605079650879, 'loss': 0.0, 'used_bw': 9.598080383922824e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(15, 18, {'free_bw': 19.83752657391652, 'delay': 1.9295215606689453, 'loss': 0.0, 'used_bw': 3.1624734260834795, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(15, 19, {'free_bw': 22.512687793661737, 'delay': 2.2394657135009766, 'loss': 0.00019023238009328823, 'used_bw': 5.487312206338262, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 53.85})
(15, 17, {'free_bw': 21.511177764446835, 'delay': 1.9663572311401367, 'loss': 0.0, 'used_bw': 5.488822235553165, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 44.72})
(14, 13, {'free_bw': 18.999904019196162, 'delay': 2.1070241928100586, 'loss': 0.0, 'used_bw': 9.598080383922824e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(14, 19, {'free_bw': 14.451008697390737, 'delay': 2.423882484436035, 'loss': 0.0005485839676335459, 'used_bw': 1.5489913026092634, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 31.62})
(13, 20, {'free_bw': 5.2536180763852425, 'delay': 2.1314620971679688, 'loss': 0.00019769865880780549, 'used_bw': 12.746381923614758, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 30.0})
(24, 20, {'free_bw': 12.822240351930027, 'delay': 1.7381906509399414, 'loss': 0.0001360506720315707, 'used_bw': 10.177759648069973, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 31.62})
(24, 27, {'free_bw': 8.273621729578736, 'delay': 2.7256011962890625, 'loss': 0.00043660649782597253, 'used_bw': 11.726378270421264, 'pkt_err': 0.0, 'pkt_drop': 7, 'distance': 41.23})
(24, 23, {'free_bw': 25.99985602879424, 'delay': 2.91597843170166, 'loss': 0.0, 'used_bw': 0.00014397120575885546, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 22.36})
(24, 19, {'free_bw': 10.963638908327292, 'delay': 2.1914243698120117, 'loss': 4.636135308787526e-05, 'used_bw': 7.036361091672708, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 31.62})
(20, 19, {'free_bw': 15.999856043187044, 'delay': 2.0432472229003906, 'loss': 0.0, 'used_bw': 0.00014395681295611745, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(18, 19, {'free_bw': 24.999856043187044, 'delay': 2.084493637084961, 'loss': 0.0, 'used_bw': 0.00014395681295611745, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
