(4, 3, {'free_bw': 14.879578863409833, 'delay': 1.944422721862793, 'loss': 0.004502848654037122, 'used_bw': 3.120421136590167, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 33.54})
(4, 8, {'free_bw': 9.999904287138584, 'delay': 1.3140439987182617, 'loss': 0.0, 'used_bw': 9.571286141575083e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 7.920895623566927, 'delay': 2.7369260787963867, 'loss': 0.0, 'used_bw': 3.079104376433073, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 5, {'free_bw': 26.999904296680292, 'delay': 2.149820327758789, 'loss': 0.0, 'used_bw': 9.570331970890288e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.999856129483465, 'delay': 2.570509910583496, 'loss': 0.0, 'used_bw': 0.0001438705165351182, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.99980807676929, 'delay': 2.260446548461914, 'loss': 0.0, 'used_bw': 0.00019192323070771873, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 22.999856445020438, 'delay': 2.1653175354003906, 'loss': 0.0, 'used_bw': 0.00014355497956335431, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 6, {'free_bw': 12.999904296680292, 'delay': 2.4194717407226562, 'loss': 0.0, 'used_bw': 9.570331970890288e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 14.999904306220095, 'delay': 2.068042755126953, 'loss': 0.0, 'used_bw': 9.569377990430476e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(7, 8, {'free_bw': 23.999904105483967, 'delay': 1.3420581817626953, 'loss': 0.0, 'used_bw': 9.589451603236471e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.999856143856142, 'delay': 4.090070724487305, 'loss': 0.0, 'used_bw': 0.00014385614385614074, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 11, {'free_bw': 28.999904105483967, 'delay': 2.0362138748168945, 'loss': 0.0, 'used_bw': 9.589451603236471e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.31})
(8, 2, {'free_bw': 25.999904095904096, 'delay': 2.0052194595336914, 'loss': 0.0, 'used_bw': 9.590409590409381e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 38.08})
(10, 9, {'free_bw': 29.999808210967934, 'delay': 4.718780517578125, 'loss': 0.0, 'used_bw': 0.00019178903206472941, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 19.999808134305987, 'delay': 2.04622745513916, 'loss': 0.0, 'used_bw': 0.00019186569401418888, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(9, 2, {'free_bw': 20.999856158225953, 'delay': 3.395557403564453, 'loss': 0.0, 'used_bw': 0.00014384177404854707, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(9, 1, {'free_bw': 25.999904105483967, 'delay': 1.9234418869018555, 'loss': 0.0, 'used_bw': 9.589451603236471e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(12, 14, {'free_bw': 18.999904306220095, 'delay': 4.891872406005859, 'loss': 0.0, 'used_bw': 9.56937799043091e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(12, 11, {'free_bw': 20.934247208931467, 'delay': 2.8693675994873047, 'loss': 0.004275908387583021, 'used_bw': 3.065752791068534, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 50.0})
(12, 13, {'free_bw': 17.999904306220095, 'delay': 333.087682723999, 'loss': 0.0, 'used_bw': 9.56937799043091e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(16, 11, {'free_bw': 18.999856158225953, 'delay': 2.4546384811401367, 'loss': 0.0, 'used_bw': 0.00014384177404854707, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.99})
(16, 15, {'free_bw': 24.999856115107914, 'delay': 2.4330615997314453, 'loss': 0.0, 'used_bw': 0.0001438848920863271, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(16, 17, {'free_bw': 24.146596582392252, 'delay': 1.8199682235717773, 'loss': 0.00166900694180665, 'used_bw': 1.8534034176077474, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 50.0})
(11, 15, {'free_bw': 29.999856158225953, 'delay': 4.163622856140137, 'loss': 0.0, 'used_bw': 0.00014384177404854707, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 14, {'free_bw': 29.999856158225953, 'delay': 3.099203109741211, 'loss': 0.0, 'used_bw': 0.00014384177404854707, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(15, 14, {'free_bw': 27.999904105483967, 'delay': 2.420783042907715, 'loss': 0.0, 'used_bw': 9.589451603236471e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(15, 18, {'free_bw': 21.053328271728315, 'delay': 3.0530691146850586, 'loss': 0.0, 'used_bw': 1.9466717282716857, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(15, 19, {'free_bw': 24.85122941646691, 'delay': 3.947615623474121, 'loss': 0.0029442598086231123, 'used_bw': 3.14877058353309, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 53.85})
(15, 17, {'free_bw': 23.851809752198182, 'delay': 1.8717050552368164, 'loss': 0.0015641712544159105, 'used_bw': 3.1481902478018178, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 44.72})
(14, 13, {'free_bw': 18.999856129483465, 'delay': 3.082156181335449, 'loss': 0.0, 'used_bw': 0.0001438705165351182, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(14, 19, {'free_bw': 15.99985615822595, 'delay': 2.7163028717041016, 'loss': 0.0, 'used_bw': 0.00014384177404854707, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(13, 20, {'free_bw': 17.16017504246175, 'delay': 2.4803876876831055, 'loss': 0.0, 'used_bw': 0.8398249575382526, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(20, 24, {'free_bw': 22.157870342623113, 'delay': 2.4029016494750977, 'loss': 0.0, 'used_bw': 0.8421296573768882, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(20, 19, {'free_bw': 15.999904105483967, 'delay': 2.4858713150024414, 'loss': 0.0, 'used_bw': 9.589451603236471e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(24, 19, {'free_bw': 14.85002319072368, 'delay': 1.8715858459472656, 'loss': 0.0010232865653636172, 'used_bw': 3.149976809276319, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 31.62})
(24, 27, {'free_bw': 19.157218500797462, 'delay': 2.4421215057373047, 'loss': 0.0, 'used_bw': 0.842781499202539, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(24, 23, {'free_bw': 25.999856086348192, 'delay': 1.9921064376831055, 'loss': 0.0, 'used_bw': 0.00014391365180891667, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 22.36})
(18, 19, {'free_bw': 24.999904095904096, 'delay': 2.5881528854370117, 'loss': 0.0, 'used_bw': 9.590409590409381e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
