(4, 3, {'free_bw': 10.3062612693654, 'delay': 4.1961669921875, 'loss': 0.0, 'used_bw': 7.693738730634599, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 8, {'free_bw': 9.999904047976012, 'delay': 2.140164375305176, 'loss': 0.0, 'used_bw': 9.595202398800495e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 5, {'free_bw': 26.999904047976013, 'delay': 2.5255680084228516, 'loss': 0.0, 'used_bw': 9.595202398800931e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 3.369192954363288, 'delay': 47.45149612426758, 'loss': 0.0, 'used_bw': 7.630807045636712, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(3, 5, {'free_bw': 24.999904047976013, 'delay': 1.7870664596557617, 'loss': 0.0, 'used_bw': 9.595202398800495e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999904047976013, 'delay': 2.2428035736083984, 'loss': 0.0, 'used_bw': 9.595202398800495e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 20.037285342931398, 'delay': 1.8945932388305664, 'loss': 0.0, 'used_bw': 2.9627146570686005, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 6, {'free_bw': 10.03569255404329, 'delay': 2.1419525146484375, 'loss': 0.0, 'used_bw': 2.964307445956709, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 12.035927301777548, 'delay': 1.9543170928955078, 'loss': 0.0, 'used_bw': 2.9640726982224517, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(7, 8, {'free_bw': 23.999856043187044, 'delay': 1.9595623016357422, 'loss': 0.0, 'used_bw': 0.00014395681295611092, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.999904038384646, 'delay': 2.980947494506836, 'loss': 0.0, 'used_bw': 9.596161535385936e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 25.026965213914426, 'delay': 1.5568733215332031, 'loss': 0.0, 'used_bw': 0.973034786085575, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 38.08})
(8, 11, {'free_bw': 28.044430670798775, 'delay': 3.2438039779663086, 'loss': 0.0, 'used_bw': 0.9555693292012247, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.31})
(10, 9, {'free_bw': 29.067352259096353, 'delay': 1.3648271560668945, 'loss': 0.0, 'used_bw': 0.9326477409036474, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 19.073405837664925, 'delay': 2.1888017654418945, 'loss': 0.0, 'used_bw': 0.9265941623350747, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(9, 2, {'free_bw': 20.999904038384646, 'delay': 1.8742084503173828, 'loss': 0.0, 'used_bw': 9.596161535385936e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(9, 1, {'free_bw': 25.069808438312332, 'delay': 1.4564990997314453, 'loss': 0.0, 'used_bw': 0.9301915616876669, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(12, 14, {'free_bw': 18.999856201318156, 'delay': 1.4290809631347656, 'loss': 0.0, 'used_bw': 0.00014379868184541465, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(12, 13, {'free_bw': 15.057636636336426, 'delay': 4.229187965393066, 'loss': 0.0, 'used_bw': 2.9423633636635738, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(12, 11, {'free_bw': 18.190777711204387, 'delay': 2.0508766174316406, 'loss': 0.0, 'used_bw': 5.809222288795614, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(16, 11, {'free_bw': 18.999904028791363, 'delay': 2.549290657043457, 'loss': 0.0, 'used_bw': 9.597120863740727e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.99})
(16, 15, {'free_bw': 24.999904028791363, 'delay': 3.29434871673584, 'loss': 0.0, 'used_bw': 9.597120863740727e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(16, 17, {'free_bw': 22.914994301709534, 'delay': 2.6944875717163086, 'loss': 0.0, 'used_bw': 3.0850056982904643, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(11, 15, {'free_bw': 29.999904028791363, 'delay': 3.973245620727539, 'loss': 0.0, 'used_bw': 9.597120863740727e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 14, {'free_bw': 29.069994402239097, 'delay': 1.806497573852539, 'loss': 0.0, 'used_bw': 0.9300055977609044, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(15, 14, {'free_bw': 27.999904038384646, 'delay': 0.8668899536132812, 'loss': 0.0, 'used_bw': 9.5961615353855e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(15, 18, {'free_bw': 19.760859028194346, 'delay': 2.9276609420776367, 'loss': 0.0, 'used_bw': 3.239140971805654, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(15, 19, {'free_bw': 21.118242127361587, 'delay': 2.8982162475585938, 'loss': 0.0, 'used_bw': 6.881757872638413, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 53.85})
(15, 17, {'free_bw': 20.117912626212245, 'delay': 4.193544387817383, 'loss': 0.0, 'used_bw': 6.882087373787756, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 44.72})
(14, 13, {'free_bw': 18.999856043187044, 'delay': 2.085566520690918, 'loss': 0.0, 'used_bw': 0.00014395681295611092, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(14, 19, {'free_bw': 15.069428228708508, 'delay': 1.7931461334228516, 'loss': 0.0, 'used_bw': 0.9305717712914922, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(13, 20, {'free_bw': 4.888144785521117, 'delay': 3.174901008605957, 'loss': 0.0, 'used_bw': 13.111855214478883, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(20, 24, {'free_bw': 12.830338264694488, 'delay': 1.9366741180419922, 'loss': 0.0, 'used_bw': 10.169661735305512, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(20, 19, {'free_bw': 15.999856043187044, 'delay': 1.323103904724121, 'loss': 0.0, 'used_bw': 0.00014395681295611092, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(24, 19, {'free_bw': 10.184774090363781, 'delay': 2.1587610244750977, 'loss': 0.0, 'used_bw': 7.815225909636219, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(24, 27, {'free_bw': 8.906109047333365, 'delay': 2.5954246520996094, 'loss': 0.0, 'used_bw': 11.093890952666635, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(24, 23, {'free_bw': 25.999904038384646, 'delay': 2.4640560150146484, 'loss': 0.0, 'used_bw': 9.5961615353855e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 22.36})
(18, 19, {'free_bw': 24.999904028791363, 'delay': 2.6847124099731445, 'loss': 0.0, 'used_bw': 9.597120863740727e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(18, 22, {'free_bw': 5.100296370362841, 'delay': 2.8589963912963867, 'loss': 0.0, 'used_bw': 4.899703629637159, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.4})
(18, 23, {'free_bw': 9.823511248875032, 'delay': 1.783609390258789, 'loss': 0.0, 'used_bw': 3.1764887511249675, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 56.57})
(18, 17, {'free_bw': 21.999904019196162, 'delay': 1.9216537475585938, 'loss': 0.0, 'used_bw': 9.59808038392326e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(19, 23, {'free_bw': 17.999856043187044, 'delay': 1.7137527465820312, 'loss': 0.0, 'used_bw': 0.00014395681295611745, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(23, 27, {'free_bw': 12.999856201318154, 'delay': 2.0880699157714844, 'loss': 0.0, 'used_bw': 0.00014379868184541465, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(23, 26, {'free_bw': 15.852117988201101, 'delay': 1.7817020416259766, 'loss': 0.0, 'used_bw': 3.1478820117988993, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 32.02})
(23, 22, {'free_bw': 18.9145696291113, 'delay': 1.893162727355957, 'loss': 0.0, 'used_bw': 2.0854303708887008, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.25})
(25, 21, {'free_bw': 24.999856186956954, 'delay': 1.3170242309570312, 'loss': 0.0, 'used_bw': 0.0001438130430440439, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(25, 26, {'free_bw': 29.99985602879424, 'delay': 2.8864145278930664, 'loss': 0.0, 'used_bw': 0.00014397120575884893, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.25})
(25, 28, {'free_bw': 18.104798240351926, 'delay': 0.9316205978393555, 'loss': 0.0, 'used_bw': 0.8952017596480746, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(25, 22, {'free_bw': 15.23745970805836, 'delay': 1.6639232635498047, 'loss': 0.0, 'used_bw': 5.762540291941639, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 32.02})
(21, 17, {'free_bw': 27.999904124637972, 'delay': 1.552581787109375, 'loss': 0.0, 'used_bw': 9.58753620293626e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(21, 22, {'free_bw': 18.99980824927594, 'delay': 1.3744831085205078, 'loss': 0.0, 'used_bw': 0.0001917507240587252, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.21})
(30, 27, {'free_bw': 22.069242151569682, 'delay': 1.8144845962524414, 'loss': 0.0, 'used_bw': 0.9307578484303183, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 44.72})
(30, 26, {'free_bw': 21.999904019196162, 'delay': 2.1718740463256836, 'loss': 0.0, 'used_bw': 9.59808038392326e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 26.93})
(30, 29, {'free_bw': 24.99985602879424, 'delay': 1.9636154174804688, 'loss': 0.0, 'used_bw': 0.00014397120575884893, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(27, 26, {'free_bw': 25.99995206710605, 'delay': 4.073143005371094, 'loss': 0.0, 'used_bw': 4.7932893948471544e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.41})
(28, 29, {'free_bw': 22.11200959808038, 'delay': 0.7493495941162109, 'loss': 0.0, 'used_bw': 0.8879904019196202, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(2, 1, {'free_bw': 26.999904038384646, 'delay': 1.6826391220092773, 'loss': 0.0, 'used_bw': 9.596161535385936e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(22, 17, {'free_bw': 19.96145410917815, 'delay': 4.758954048156738, 'loss': 0.0, 'used_bw': 3.03854589082185, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
