(4, 3, {'free_bw': 8.039034234234016, 'delay': 2.0782947540283203, 'loss': 7.773590498398456e-05, 'used_bw': 9.960965765765984, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 33.54})
(4, 8, {'free_bw': 9.99990399039904, 'delay': 3.181576728820801, 'loss': 0.0, 'used_bw': 9.600960096009796e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 1.117117311730972, 'delay': 2.430081367492676, 'loss': 0.0, 'used_bw': 9.882882688269028, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 5, {'free_bw': 26.9999041820541, 'delay': 2.274751663208008, 'loss': 0.0, 'used_bw': 9.581794590278249e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.9999041820541, 'delay': 1.6787052154541016, 'loss': 0.0, 'used_bw': 9.581794590278249e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999903903903903, 'delay': 3.4418106079101562, 'loss': 0.10686995707390057, 'used_bw': 9.60960960960982e-05, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 33.54})
(5, 6, {'free_bw': 13.207885018465145, 'delay': 2.162337303161621, 'loss': 0.002098255356395316, 'used_bw': 9.792114981534855, 'pkt_err': 0.0, 'pkt_drop': 15, 'distance': 31.62})
(7, 6, {'free_bw': 3.2062316463297567, 'delay': 4.4231414794921875, 'loss': 0.0009079188692622332, 'used_bw': 9.793768353670243, 'pkt_err': 0.0, 'pkt_drop': 7, 'distance': 31.62})
(7, 12, {'free_bw': 5.206231646328867, 'delay': 3.037095069885254, 'loss': 0.000825942138900608, 'used_bw': 9.793768353671133, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 30.0})
(7, 8, {'free_bw': 23.999904124637972, 'delay': 2.5452375411987305, 'loss': 0.0, 'used_bw': 9.58753620293626e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.99990399039904, 'delay': 1.1005401611328125, 'loss': 0.0, 'used_bw': 9.600960096009796e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
