(4, 3, {'free_bw': 8.040209558088788, 'delay': 2.2704601287841797, 'loss': 0.0, 'used_bw': 9.959790441911212, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 8, {'free_bw': 9.99990401919616, 'delay': 2.553582191467285, 'loss': 0.0, 'used_bw': 9.598080383922824e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 1.143880023995603, 'delay': 3.870725631713867, 'loss': 0.0, 'used_bw': 9.856119976004397, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 5, {'free_bw': 26.999856244384546, 'delay': 5.821943283081055, 'loss': 0.0, 'used_bw': 0.00014375561545373116, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.99990416292303, 'delay': 2.5634765625, 'loss': 0.0, 'used_bw': 9.583707696915411e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999808287568648, 'delay': 5.735516548156738, 'loss': 0.0, 'used_bw': 0.0001917124313529817, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 13.237575079871835, 'delay': 3.6373138427734375, 'loss': 0.0005321335180083804, 'used_bw': 9.762424920128165, 'pkt_err': 0.0, 'pkt_drop': 7, 'distance': 31.62})
(7, 6, {'free_bw': 3.2330541891625657, 'delay': 2.0955801010131836, 'loss': 0.0005321356984361093, 'used_bw': 9.766945810837434, 'pkt_err': 0.0, 'pkt_drop': 7, 'distance': 31.62})
(7, 12, {'free_bw': 5.231608917324511, 'delay': 3.3168792724609375, 'loss': 0.0003696702675828937, 'used_bw': 9.768391082675489, 'pkt_err': 0.0, 'pkt_drop': 5, 'distance': 30.0})
(7, 8, {'free_bw': 23.999856244384546, 'delay': 4.622459411621094, 'loss': 0.0, 'used_bw': 0.00014375561545373116, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 16.235708058387832, 'delay': 0.651240348815918, 'loss': 0.00043001942246069833, 'used_bw': 9.764291941612168, 'pkt_err': 0.0, 'pkt_drop': 5, 'distance': 38.08})
(8, 11, {'free_bw': 19.342046790641387, 'delay': 1.827239990234375, 'loss': 0.000868824228802659, 'used_bw': 9.657953209358613, 'pkt_err': 0.0, 'pkt_drop': 10, 'distance': 40.31})
(8, 10, {'free_bw': 23.99990416292303, 'delay': 1.0677576065063477, 'loss': 0.0, 'used_bw': 9.583707696915411e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(10, 9, {'free_bw': 21.160662074473244, 'delay': 1.4605522155761719, 'loss': 0.00040928398162517733, 'used_bw': 8.839337925526758, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 31.62})
(10, 16, {'free_bw': 11.245790955375709, 'delay': 0, 'loss': 0.00018056889798599303, 'used_bw': 8.754209044624291, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 41.23})
(9, 1, {'free_bw': 17.16253229354085, 'delay': 7.128119468688965, 'loss': 0.0007550709650149981, 'used_bw': 8.837467706459151, 'pkt_err': 0.0, 'pkt_drop': 7, 'distance': 31.62})
(9, 2, {'free_bw': 20.999808287568648, 'delay': 0.9387731552124023, 'loss': 0.0, 'used_bw': 0.00019171243135296428, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(12, 14, {'free_bw': 18.99985623003195, 'delay': 244.37034130096436, 'loss': 0.0, 'used_bw': 0.00014376996805112364, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(12, 11, {'free_bw': 14.246302885095169, 'delay': 4.500865936279297, 'loss': 5.8086806264572886e-05, 'used_bw': 9.753697114904831, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 50.0})
(12, 13, {'free_bw': 8.327757672697901, 'delay': 2.4138689041137695, 'loss': 0.0006195210101343395, 'used_bw': 9.672242327302099, 'pkt_err': 0.0, 'pkt_drop': 8, 'distance': 31.62})
(16, 11, {'free_bw': 18.99990416292303, 'delay': 0, 'loss': 0.0, 'used_bw': 9.583707696915411e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.99})
(16, 17, {'free_bw': 8.07222761305912, 'delay': 0, 'loss': 0.00019505656727142678, 'used_bw': 17.92777238694088, 'pkt_err': 0.0, 'pkt_drop': 5, 'distance': 50.0})
