(4, 3, {'free_bw': 12.745144684252736, 'delay': 2.820611000061035, 'loss': 0.0, 'used_bw': 5.254855315747263, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 8, {'free_bw': 9.999808153477218, 'delay': 2.626180648803711, 'loss': 0.0, 'used_bw': 0.0001918465227817695, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 5, {'free_bw': 26.99990407673861, 'delay': 2.104043960571289, 'loss': 0.0, 'used_bw': 9.592326139088475e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 5.792295763389189, 'delay': 1.9850730895996094, 'loss': 0.0, 'used_bw': 5.207704236610811, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(3, 5, {'free_bw': 24.99990407673861, 'delay': 2.0530223846435547, 'loss': 0.0, 'used_bw': 9.592326139088475e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.99990407673861, 'delay': 2.0581483840942383, 'loss': 0.0, 'used_bw': 9.592326139088911e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 20.235625812906424, 'delay': 2.2954940795898438, 'loss': 0.0006874878523189634, 'used_bw': 2.7643741870935767, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 31.62})
(7, 6, {'free_bw': 10.234377188594394, 'delay': 2.0208358764648438, 'loss': 0.000687482042710217, 'used_bw': 2.765622811405607, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 31.62})
(7, 12, {'free_bw': 12.234391043582667, 'delay': 0, 'loss': 0.001197588709569133, 'used_bw': 2.765608956417333, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 30.0})
(7, 8, {'free_bw': 23.99980807676929, 'delay': 1.8903017044067383, 'loss': 0.0, 'used_bw': 0.00019192323070771873, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.99990405756546, 'delay': 2.538323402404785, 'loss': 0.0, 'used_bw': 9.59424345392778e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 11, {'free_bw': 27.51197840647801, 'delay': 2.2825002670288086, 'loss': 0.0, 'used_bw': 1.4880215935219878, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.31})
(8, 2, {'free_bw': 24.499791745777966, 'delay': 2.553582191467285, 'loss': 0.0, 'used_bw': 1.5002082542220354, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 38.08})
(10, 9, {'free_bw': 29.726758344993, 'delay': 2.0226240158081055, 'loss': 0.0, 'used_bw': 0.27324165500699965, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
