(4, 3, {'free_bw': 8.036206407825365, 'delay': 0.2881288528442383, 'loss': 7.445219048236115e-05, 'used_bw': 9.963793592174635, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 33.54})
(4, 8, {'free_bw': 9.999808364108194, 'delay': 2.2056102752685547, 'loss': 0.0, 'used_bw': 0.00019163589180556497, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 5, {'free_bw': 26.999856273081146, 'delay': 0.9146928787231445, 'loss': 0.0, 'used_bw': 0.00014372691885417374, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 1.1193992410626343, 'delay': 0.4209280014038086, 'loss': 0.0, 'used_bw': 9.880600758937366, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(3, 5, {'free_bw': 24.99985628742515, 'delay': 3.357052803039551, 'loss': 0.0, 'used_bw': 0.0001437125748503062, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999904191616768, 'delay': 1.6914606094360352, 'loss': 0.0, 'used_bw': 9.580838323353745e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 13.252390292619516, 'delay': 2.3120641708374023, 'loss': 0.00022839030010752065, 'used_bw': 9.747609707380484, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 31.62})
(7, 6, {'free_bw': 3.2490689035351696, 'delay': 2.733588218688965, 'loss': 0.000519684340985783, 'used_bw': 9.75093109646483, 'pkt_err': 0.0, 'pkt_drop': 10, 'distance': 31.62})
(7, 12, {'free_bw': 5.249028308492839, 'delay': 1.5221834182739258, 'loss': 0.0006338817262707267, 'used_bw': 9.75097169150716, 'pkt_err': 0.0, 'pkt_drop': 12, 'distance': 30.0})
(7, 8, {'free_bw': 23.99980824927594, 'delay': 2.5539398193359375, 'loss': 0.0, 'used_bw': 0.0001917507240587078, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.999904124637972, 'delay': 2.4955272674560547, 'loss': 0.0, 'used_bw': 9.58753620293626e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 16.269385798461922, 'delay': 2.703547477722168, 'loss': 0.000642874727466564, 'used_bw': 9.730614201538078, 'pkt_err': 0.0, 'pkt_drop': 12, 'distance': 38.08})
