(4, 3, {'free_bw': 8.036864627074085, 'delay': 2.467632293701172, 'loss': 0.0, 'used_bw': 9.963135372925915, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 8, {'free_bw': 9.999904067152993, 'delay': 2.5954246520996094, 'loss': 0.0, 'used_bw': 9.593284700709008e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 1.1439536324568937, 'delay': 2.9404163360595703, 'loss': 8.789040435785934e-05, 'used_bw': 9.856046367543106, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 25.0})
(4, 5, {'free_bw': 26.99995201439568, 'delay': 2.396702766418457, 'loss': 0.0, 'used_bw': 4.798560431870145e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.999904028791363, 'delay': 2.926945686340332, 'loss': 0.0, 'used_bw': 9.597120863741163e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999904028791363, 'delay': 1.053929328918457, 'loss': 0.0, 'used_bw': 9.59712086374029e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 13.231775357249541, 'delay': 1.7572641372680664, 'loss': 0.0001867074264352546, 'used_bw': 9.768224642750459, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 31.62})
(7, 6, {'free_bw': 3.2317273908260375, 'delay': 1.6568899154663086, 'loss': 0.0008496754449444471, 'used_bw': 9.768272609173962, 'pkt_err': 0.0, 'pkt_drop': 5, 'distance': 31.62})
(7, 12, {'free_bw': 5.230703178092561, 'delay': 0, 'loss': 0.0006629607563228955, 'used_bw': 9.769296821907439, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 30.0})
(7, 8, {'free_bw': 23.999904067152993, 'delay': 2.254962921142578, 'loss': 0.0, 'used_bw': 9.593284700709008e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.999904067152993, 'delay': 1.1156797409057617, 'loss': 0.0, 'used_bw': 9.593284700709008e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 11, {'free_bw': 19.325972800000002, 'delay': 3.1023025512695312, 'loss': 0.0018179455242560618, 'used_bw': 9.6740272, 'pkt_err': 0.0, 'pkt_drop': 7, 'distance': 40.31})
(8, 2, {'free_bw': 16.2318599859984, 'delay': 1.4491081237792969, 'loss': 0.0007007063891506251, 'used_bw': 9.768140014001599, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 38.08})
(10, 9, {'free_bw': 29.999904067152993, 'delay': 1.0104179382324219, 'loss': 0.0, 'used_bw': 9.593284700709008e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 19.999904028791363, 'delay': 2.8275251388549805, 'loss': 0.0, 'used_bw': 9.597120863741163e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(9, 1, {'free_bw': 25.999856100729488, 'delay': 1.8750429153442383, 'loss': 0.0, 'used_bw': 0.00014389927051063512, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(9, 2, {'free_bw': 20.999904067152993, 'delay': 0.0064373016357421875, 'loss': 0.0, 'used_bw': 9.593284700709008e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(12, 14, {'free_bw': 18.999856071964018, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00014392803598200742, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(12, 11, {'free_bw': 14.2402112, 'delay': 0, 'loss': 0.0003472105055989028, 'used_bw': 9.7597888, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 50.0})
(12, 13, {'free_bw': 8.329707146426891, 'delay': 0, 'loss': 0.001047059918666668, 'used_bw': 9.670292853573109, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 31.62})
(16, 11, {'free_bw': 18.999904019196162, 'delay': 1.8047094345092773, 'loss': 0.0, 'used_bw': 9.598080383922824e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.99})
(16, 17, {'free_bw': 16.645605921184707, 'delay': 2.0248889923095703, 'loss': 0.00033824802689609796, 'used_bw': 9.354394078815293, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 50.0})
(16, 15, {'free_bw': 24.999904019196162, 'delay': 4.8961639404296875, 'loss': 0.0, 'used_bw': 9.598080383922824e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(11, 15, {'free_bw': 29.999904, 'delay': 2.2591352462768555, 'loss': 0.0, 'used_bw': 9.6e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 14, {'free_bw': 20.521729254148696, 'delay': 311.8234872817993, 'loss': 0.0002831780667432261, 'used_bw': 9.478270745851306, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 42.43})
(15, 14, {'free_bw': 27.999904019196162, 'delay': 1.549839973449707, 'loss': 0.0, 'used_bw': 9.598080383922824e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(15, 18, {'free_bw': 13.43691729172898, 'delay': 3.886699676513672, 'loss': 0.00028751834313380626, 'used_bw': 9.56308270827102, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 20.0})
(15, 19, {'free_bw': 18.535136713672035, 'delay': 2.7103424072265625, 'loss': 0.0002955581844978147, 'used_bw': 9.464863286327965, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 53.85})
(15, 17, {'free_bw': 17.534776, 'delay': 1.735687255859375, 'loss': 9.85191503222778e-05, 'used_bw': 9.465224, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 44.72})
(14, 13, {'free_bw': 18.99985602879424, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00014397120575885546, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(14, 19, {'free_bw': 6.522396320735377, 'delay': 1.196742057800293, 'loss': 0.0008495377944859778, 'used_bw': 9.477603679264623, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 31.62})
(13, 20, {'free_bw': 0.14007039999999904, 'delay': 0, 'loss': 0.00017962903646906317, 'used_bw': 17.8599296, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 30.0})
(20, 24, {'free_bw': 13.880095971208366, 'delay': 2.0596981048583984, 'loss': 0.00020616793416612482, 'used_bw': 9.119904028791634, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 31.62})
(20, 19, {'free_bw': 15.999808076769293, 'delay': 1.558065414428711, 'loss': 0.0, 'used_bw': 0.00019192323070771873, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(24, 19, {'free_bw': 0.18294282287068242, 'delay': 319.8835849761963, 'loss': 7.371248424293406e-05, 'used_bw': 17.817057177129318, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 31.62})
(24, 27, {'free_bw': 2.037503398640375, 'delay': 1.6118288040161133, 'loss': 0.00011098569174074816, 'used_bw': 17.962496601359625, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 41.23})
(24, 23, {'free_bw': 25.99985605757697, 'delay': 1.5780925750732422, 'loss': 0.0, 'used_bw': 0.00014394242303078907, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 22.36})
(18, 19, {'free_bw': 24.99985625873428, 'delay': 1.5066862106323242, 'loss': 0.0, 'used_bw': 0.00014374126572170052, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
