(4, 3, {'free_bw': 8.031246927151509, 'delay': 4.109382629394531, 'loss': 6.251323947005936e-05, 'used_bw': 9.968753072848491, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 33.54})
(4, 8, {'free_bw': 9.999904067152993, 'delay': 5.13458251953125, 'loss': 0.0, 'used_bw': 9.593284700709008e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 1.1420317777560793, 'delay': 3.010869026184082, 'loss': 0.0, 'used_bw': 9.85796822224392, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 5, {'free_bw': 26.999856201318156, 'delay': 3.5719871520996094, 'loss': 0.0, 'used_bw': 0.00014379868184541465, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.999904134212102, 'delay': 2.5931596755981445, 'loss': 0.0, 'used_bw': 9.586578789694309e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.99980815347722, 'delay': 2.4546384811401367, 'loss': 0.0, 'used_bw': 0.00019184652278177823, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 13.251674855202836, 'delay': 2.6186704635620117, 'loss': 0.0022350503188536316, 'used_bw': 9.748325144797164, 'pkt_err': 0.0, 'pkt_drop': 20, 'distance': 31.62})
(7, 6, {'free_bw': 3.2528326171676003, 'delay': 2.269268035888672, 'loss': 0.001024631540725072, 'used_bw': 9.7471673828324, 'pkt_err': 0.0, 'pkt_drop': 9, 'distance': 31.62})
(7, 12, {'free_bw': 5.25397221389316, 'delay': 2.6040077209472656, 'loss': 0.0007189597833422449, 'used_bw': 9.74602778610684, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 30.0})
(7, 8, {'free_bw': 23.999856100729488, 'delay': 3.6967992782592773, 'loss': 0.0, 'used_bw': 0.00014389927051063512, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 16.214154092135118, 'delay': 2.585172653198242, 'loss': 0.0006851789079696133, 'used_bw': 9.78584590786488, 'pkt_err': 0.0, 'pkt_drop': 5, 'distance': 38.08})
(8, 11, {'free_bw': 19.330861197162484, 'delay': 2.3615360260009766, 'loss': 0.0029054483295596514, 'used_bw': 9.669138802837514, 'pkt_err': 0.0, 'pkt_drop': 20, 'distance': 40.31})
(8, 10, {'free_bw': 23.999904067152993, 'delay': 348.0949401855469, 'loss': 0.0, 'used_bw': 9.593284700709008e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(10, 9, {'free_bw': 21.167790525684865, 'delay': 2.256155014038086, 'loss': 0.0014815272773891967, 'used_bw': 8.832209474315135, 'pkt_err': 0.0, 'pkt_drop': 8, 'distance': 31.62})
(10, 16, {'free_bw': 11.245668365817187, 'delay': 2.7486085891723633, 'loss': 0.0, 'used_bw': 8.754331634182813, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(9, 1, {'free_bw': 17.165537723593943, 'delay': 1.7862319946289062, 'loss': 0.0030710470510468967, 'used_bw': 8.83446227640606, 'pkt_err': 0.0, 'pkt_drop': 17, 'distance': 31.62})
(9, 2, {'free_bw': 20.99980815347722, 'delay': 1.7642974853515625, 'loss': 0.0, 'used_bw': 0.00019184652278177823, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(12, 14, {'free_bw': 18.99990405756546, 'delay': 4.151582717895508, 'loss': 0.0, 'used_bw': 9.594243453927343e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(12, 11, {'free_bw': 14.241162502497918, 'delay': 4.1626691818237305, 'loss': 0.0015217094959229206, 'used_bw': 9.758837497502082, 'pkt_err': 0.0, 'pkt_drop': 22, 'distance': 50.0})
(12, 13, {'free_bw': 8.319161258113148, 'delay': 3.0562877655029297, 'loss': 0.0018945150034875768, 'used_bw': 9.680838741886852, 'pkt_err': 0.0, 'pkt_drop': 17, 'distance': 31.62})
(16, 11, {'free_bw': 18.999904143784324, 'delay': 2.0095109939575195, 'loss': 0.0, 'used_bw': 9.585621567648214e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.99})
(16, 17, {'free_bw': 8.058888955522434, 'delay': 7.50732421875, 'loss': 0.0014761564523961101, 'used_bw': 17.941111044477566, 'pkt_err': 0.0, 'pkt_drop': 22, 'distance': 50.0})
(16, 15, {'free_bw': 24.999856215676484, 'delay': 2.5969743728637695, 'loss': 0.0, 'used_bw': 0.00014378432351473626, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(11, 15, {'free_bw': 29.999904143784324, 'delay': 2.382636070251465, 'loss': 0.0, 'used_bw': 9.585621567648214e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 14, {'free_bw': 20.54930134932544, 'delay': 3.760814666748047, 'loss': 0.0014827089344888354, 'used_bw': 9.450698650674559, 'pkt_err': 0.0, 'pkt_drop': 10, 'distance': 42.43})
(15, 14, {'free_bw': 27.999904143784324, 'delay': 3.730297088623047, 'loss': 0.0, 'used_bw': 9.585621567648214e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(15, 18, {'free_bw': 13.43970423661053, 'delay': 3.119945526123047, 'loss': 0.0016465005362434773, 'used_bw': 9.56029576338947, 'pkt_err': 0.0, 'pkt_drop': 20, 'distance': 20.0})
(15, 19, {'free_bw': 18.546821460685397, 'delay': 2.548813819885254, 'loss': 0.0009005535441949615, 'used_bw': 9.453178539314603, 'pkt_err': 0.0, 'pkt_drop': 14, 'distance': 53.85})
(15, 17, {'free_bw': 17.54340089865233, 'delay': 3.041386604309082, 'loss': 0.0, 'used_bw': 9.456599101347669, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 44.72})
(14, 13, {'free_bw': 18.999904143784324, 'delay': 2.7582645416259766, 'loss': 0.0, 'used_bw': 9.585621567648214e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(14, 19, {'free_bw': 6.549301349325441, 'delay': 2.0592212677001953, 'loss': 0.0, 'used_bw': 9.450698650674559, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(13, 20, {'free_bw': 1.2038957563659984, 'delay': 2.5693178176879883, 'loss': 7.466164063833041e-05, 'used_bw': 16.796104243634, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 30.0})
(24, 20, {'free_bw': 15.670607827476427, 'delay': 2.102494239807129, 'loss': 0.0, 'used_bw': 7.329392172523573, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(24, 19, {'free_bw': 0.3725972416555585, 'delay': 319.8925256729126, 'loss': 0.0, 'used_bw': 17.62740275834444, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(24, 27, {'free_bw': 3.9015862482500907, 'delay': 11.772751808166504, 'loss': 0.0001817684096991637, 'used_bw': 16.09841375174991, 'pkt_err': 0.0, 'pkt_drop': 5, 'distance': 41.23})
(24, 23, {'free_bw': 25.999856086348192, 'delay': 2.953171730041504, 'loss': 0.0, 'used_bw': 0.00014391365180891014, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 22.36})
(20, 19, {'free_bw': 15.999904153354633, 'delay': 3.4706592559814453, 'loss': 0.0, 'used_bw': 9.584664536740706e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(18, 19, {'free_bw': 24.999856129483465, 'delay': 1.9992589950561523, 'loss': 0.0, 'used_bw': 0.0001438705165351182, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(18, 17, {'free_bw': 21.999904143784324, 'delay': 3.3484697341918945, 'loss': 0.0, 'used_bw': 9.585621567648214e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(18, 23, {'free_bw': 3.5955930441729347, 'delay': 1.843094825744629, 'loss': 0.0006799925312170938, 'used_bw': 9.404406955827065, 'pkt_err': 0.0, 'pkt_drop': 8, 'distance': 56.57})
(18, 22, {'free_bw': 1.088975219823972, 'delay': 0, 'loss': 0.0, 'used_bw': 8.911024780176028, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.4})
(19, 23, {'free_bw': 17.999856129483465, 'delay': 1.8210411071777344, 'loss': 0.0, 'used_bw': 0.0001438705165351182, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(23, 27, {'free_bw': 12.999904047976012, 'delay': 1.8613338470458984, 'loss': 0.0, 'used_bw': 9.595202398800495e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(23, 26, {'free_bw': 9.698705576654298, 'delay': 2.30562686920166, 'loss': 0.0005048886607557926, 'used_bw': 9.301294423345702, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 32.02})
(23, 22, {'free_bw': 12.013464428457064, 'delay': 0, 'loss': 0.0008992650815117918, 'used_bw': 8.986535571542936, 'pkt_err': 0.0, 'pkt_drop': 8, 'distance': 50.25})
(25, 21, {'free_bw': 24.999904047976013, 'delay': 1.8767118453979492, 'loss': 0.0, 'used_bw': 9.595202398800495e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
