(4, 3, {'free_bw': 8.036534186325374, 'delay': 3.112196922302246, 'loss': 3.0714732929057206e-05, 'used_bw': 9.963465813674626, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 33.54})
(4, 8, {'free_bw': 9.99980842147276, 'delay': 2.7222633361816406, 'loss': 0.0, 'used_bw': 0.0001915785272400731, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 1.1394386245500883, 'delay': 3.401041030883789, 'loss': 0.0009378797770006395, 'used_bw': 9.860561375449912, 'pkt_err': 0.0, 'pkt_drop': 18, 'distance': 25.0})
(4, 5, {'free_bw': 26.999904067152993, 'delay': 2.8721094131469727, 'loss': 0.0, 'used_bw': 9.59328470070988e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.999808134305987, 'delay': 3.3403635025024414, 'loss': 0.0, 'used_bw': 0.0001918656940141976, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999904038384646, 'delay': 2.190232276916504, 'loss': 0.0, 'used_bw': 9.596161535385936e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 13.248027140291295, 'delay': 2.31778621673584, 'loss': 0.00034745184898883066, 'used_bw': 9.751972859708705, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 31.62})
(7, 6, {'free_bw': 3.247796921847197, 'delay': 3.119945526123047, 'loss': 0.0007388483254206935, 'used_bw': 9.752203078152803, 'pkt_err': 0.0, 'pkt_drop': 8, 'distance': 31.62})
(7, 12, {'free_bw': 5.248935625749608, 'delay': 3.8726329803466797, 'loss': 0.0007927539742905363, 'used_bw': 9.751064374250392, 'pkt_err': 0.0, 'pkt_drop': 9, 'distance': 30.0})
(7, 8, {'free_bw': 23.99990421073638, 'delay': 2.654910087585449, 'loss': 0.0, 'used_bw': 9.578926362003655e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 16.20082857713025, 'delay': 3.156304359436035, 'loss': 0.0013708286692562352, 'used_bw': 9.799171422869751, 'pkt_err': 0.0, 'pkt_drop': 13, 'distance': 38.08})
(8, 11, {'free_bw': 19.29232967471556, 'delay': 2.4890899658203125, 'loss': 0.0005408384622762469, 'used_bw': 9.707670325284438, 'pkt_err': 0.0, 'pkt_drop': 5, 'distance': 40.31})
(8, 10, {'free_bw': 23.99980842147276, 'delay': 1.882314682006836, 'loss': 0.0, 'used_bw': 0.0001915785272400731, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(10, 9, {'free_bw': 24.833089602873642, 'delay': 1.38092041015625, 'loss': 0.0, 'used_bw': 5.166910397126356, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 14.895188405797157, 'delay': 1.9606351852416992, 'loss': 0.0, 'used_bw': 5.104811594202842, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(9, 1, {'free_bw': 20.83491409757565, 'delay': 2.1811723709106445, 'loss': 0.0, 'used_bw': 5.1650859024243525, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(9, 2, {'free_bw': 20.99990421073638, 'delay': 1.8557310104370117, 'loss': 0.0, 'used_bw': 9.578926362003655e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(12, 14, {'free_bw': 18.999856086348192, 'delay': 3.2056570053100586, 'loss': 0.0, 'used_bw': 0.00014391365180891014, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(12, 11, {'free_bw': 14.244399840063883, 'delay': 2.63214111328125, 'loss': 0.0005705015167253906, 'used_bw': 9.755600159936117, 'pkt_err': 0.0, 'pkt_drop': 9, 'distance': 50.0})
(12, 13, {'free_bw': 8.341565773690432, 'delay': 4.885077476501465, 'loss': 0.0010972152475955638, 'used_bw': 9.658434226309568, 'pkt_err': 0.0, 'pkt_drop': 12, 'distance': 31.62})
(16, 11, {'free_bw': 18.999856086348192, 'delay': 3.1828880310058594, 'loss': 0.0, 'used_bw': 0.00014391365180892323, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.99})
(16, 17, {'free_bw': 13.877953823087486, 'delay': 2.0629167556762695, 'loss': 0.00032532387262194923, 'used_bw': 12.122046176912514, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 50.0})
(16, 15, {'free_bw': 24.99990405756546, 'delay': 5.219817161560059, 'loss': 0.0, 'used_bw': 9.594243453927343e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(11, 15, {'free_bw': 29.999856100729488, 'delay': 2.2885799407958984, 'loss': 0.0, 'used_bw': 0.00014389927051064818, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 14, {'free_bw': 20.503504297421845, 'delay': 2.0269155502319336, 'loss': 0.0002426145907171337, 'used_bw': 9.496495702578155, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 42.43})
(15, 14, {'free_bw': 27.999856100729488, 'delay': 4.9010515213012695, 'loss': 0.0, 'used_bw': 0.00014389927051064818, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(15, 18, {'free_bw': 13.439682622164979, 'delay': 2.7571916580200195, 'loss': 0.0002720545543548735, 'used_bw': 9.560317377835021, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 20.0})
(15, 19, {'free_bw': 18.5257832866861, 'delay': 8.774518966674805, 'loss': 0.0004379803797890161, 'used_bw': 9.474216713313902, 'pkt_err': 0.0, 'pkt_drop': 8, 'distance': 53.85})
(15, 17, {'free_bw': 17.526794443889766, 'delay': 2.47037410736084, 'loss': 6.167240419897533e-05, 'used_bw': 9.473205556110234, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 44.72})
(14, 13, {'free_bw': 18.999856100729488, 'delay': 1.859426498413086, 'loss': 0.0, 'used_bw': 0.00014389927051064818, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(14, 19, {'free_bw': 6.503456326204574, 'delay': 2.4584531784057617, 'loss': 0.0004307460333005624, 'used_bw': 9.496543673795426, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 31.62})
(13, 20, {'free_bw': 0.13254561806665066, 'delay': 322.07024097442627, 'loss': 0.00016626706073503394, 'used_bw': 17.86745438193335, 'pkt_err': 0.0, 'pkt_drop': 5, 'distance': 30.0})
(24, 20, {'free_bw': 13.875667766117042, 'delay': 2.383589744567871, 'loss': 0.00022305913058370228, 'used_bw': 9.124332233882958, 'pkt_err': 0.0, 'pkt_drop': 5, 'distance': 31.62})
(24, 19, {'free_bw': 0.21533233383327754, 'delay': 3.0122995376586914, 'loss': 2.3100492041062143e-05, 'used_bw': 17.784667666166722, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 31.62})
(24, 27, {'free_bw': 1.9677873063470237, 'delay': 2.812623977661133, 'loss': 0.00010595104848398288, 'used_bw': 18.032212693652976, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 41.23})
(24, 23, {'free_bw': 25.999904047976013, 'delay': 1.7780065536499023, 'loss': 0.0, 'used_bw': 9.595202398801368e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 22.36})
(20, 19, {'free_bw': 15.999904067152993, 'delay': 4.605650901794434, 'loss': 0.0, 'used_bw': 9.59328470070988e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(18, 19, {'free_bw': 24.99990421073638, 'delay': 1.750349998474121, 'loss': 0.0, 'used_bw': 9.578926362003655e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(18, 17, {'free_bw': 21.99985631610457, 'delay': 1.862168312072754, 'loss': 0.0, 'used_bw': 0.00014368389543005484, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(18, 23, {'free_bw': 3.6345288365595074, 'delay': 2.736687660217285, 'loss': 0.000789607367292608, 'used_bw': 9.365471163440493, 'pkt_err': 0.0, 'pkt_drop': 11, 'distance': 56.57})
(18, 22, {'free_bw': 1.065654924657979, 'delay': 3.1290054321289062, 'loss': 6.911185719942636e-05, 'used_bw': 8.934345075342021, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 36.4})
(19, 23, {'free_bw': 17.999904038384646, 'delay': 1.4879703521728516, 'loss': 0.0, 'used_bw': 9.596161535385936e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(23, 27, {'free_bw': 12.999856071964018, 'delay': 1.3304948806762695, 'loss': 0.0, 'used_bw': 0.00014392803598200742, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(23, 26, {'free_bw': 9.743237183323211, 'delay': 1.8717050552368164, 'loss': 0.001034410768814347, 'used_bw': 9.256762816676789, 'pkt_err': 0.0, 'pkt_drop': 14, 'distance': 32.02})
(23, 22, {'free_bw': 14.172024348867195, 'delay': 3.666043281555176, 'loss': 0.0008480043934094944, 'used_bw': 6.827975651132805, 'pkt_err': 0.0, 'pkt_drop': 9, 'distance': 50.25})
(25, 21, {'free_bw': 24.99990405756546, 'delay': 4.304170608520508, 'loss': 0.0, 'used_bw': 9.594243453927343e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
