(13, 20, {'free_bw': 0.07408911088787562, 'delay': 322.18635082244873, 'loss': 0.00010599456011022096, 'used_bw': 17.925910889112124, 'pkt_err': 0.0, 'pkt_drop': 5, 'distance': 30.0})
(24, 20, {'free_bw': 13.981305111820745, 'delay': 1.4216899871826172, 'loss': 0.0004205442404436363, 'used_bw': 9.018694888179255, 'pkt_err': 0.0, 'pkt_drop': 13, 'distance': 31.62})
(24, 27, {'free_bw': 2.1239968051127676, 'delay': 1.1861324310302734, 'loss': 6.410095718191206e-05, 'used_bw': 17.876003194887232, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 41.23})
(24, 23, {'free_bw': 25.99990415335463, 'delay': 1.8069744110107422, 'loss': 0.0, 'used_bw': 9.584664536740706e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 22.36})
(24, 19, {'free_bw': 0.13643450479165864, 'delay': 316.5689706802368, 'loss': 2.3834081343018532e-05, 'used_bw': 17.86356549520834, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 31.62})
(20, 19, {'free_bw': 15.999904153354633, 'delay': 0.9930133819580078, 'loss': 0.0, 'used_bw': 9.584664536741576e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(18, 19, {'free_bw': 24.99990415335463, 'delay': 1.633763313293457, 'loss': 0.0, 'used_bw': 9.584664536740706e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(18, 22, {'free_bw': 1.0673324677917986, 'delay': 1.8748044967651367, 'loss': 4.2562686417327475e-05, 'used_bw': 8.932667532208201, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 36.4})
(18, 17, {'free_bw': 21.999904124637972, 'delay': 2.8513669967651367, 'loss': 0.0, 'used_bw': 9.58753620293626e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(18, 23, {'free_bw': 3.6395605712572916, 'delay': 3.8155317306518555, 'loss': 0.00027420705580246, 'used_bw': 9.360439428742708, 'pkt_err': 0.0, 'pkt_drop': 7, 'distance': 56.57})
(19, 23, {'free_bw': 17.99990415335463, 'delay': 3.0840635299682617, 'loss': 0.0, 'used_bw': 9.584664536740706e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(23, 27, {'free_bw': 12.999904153354633, 'delay': 1.4868974685668945, 'loss': 0.0, 'used_bw': 9.584664536741576e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(23, 22, {'free_bw': 20.999851422865703, 'delay': 2.585172653198242, 'loss': 0.0, 'used_bw': 0.00014857713429854732, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.25})
(23, 26, {'free_bw': 9.734015974441387, 'delay': 3.412961959838867, 'loss': 0.00011579393521768574, 'used_bw': 9.265984025558613, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 32.02})
(25, 21, {'free_bw': 24.99990415335463, 'delay': 1.985788345336914, 'loss': 0.0, 'used_bw': 9.584664536741576e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(25, 26, {'free_bw': 29.99990415335463, 'delay': 1.7659664154052734, 'loss': 0.0, 'used_bw': 9.584664536741576e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.25})
(25, 28, {'free_bw': 18.117025077430313, 'delay': 2.123117446899414, 'loss': 0.00014446382045027247, 'used_bw': 0.882974922569686, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 50.0})
(25, 22, {'free_bw': 11.26716115496055, 'delay': 1.4507770538330078, 'loss': 0.00021833505308351347, 'used_bw': 9.73283884503945, 'pkt_err': 0.0, 'pkt_drop': 9, 'distance': 32.02})
(21, 17, {'free_bw': 27.99985623003195, 'delay': 3.5837888717651367, 'loss': 0.0, 'used_bw': 0.00014376996805112364, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(21, 22, {'free_bw': 18.99990415335463, 'delay': 2.9609203338623047, 'loss': 0.0, 'used_bw': 9.584664536741576e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.21})
(30, 27, {'free_bw': 14.142595846645033, 'delay': 2.2307634353637695, 'loss': 0.0004777759287926371, 'used_bw': 8.857404153354967, 'pkt_err': 0.0, 'pkt_drop': 9, 'distance': 44.72})
(30, 26, {'free_bw': 21.99990415335463, 'delay': 3.5463571548461914, 'loss': 0.0, 'used_bw': 9.584664536740706e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 26.93})
(30, 29, {'free_bw': 24.999856143856142, 'delay': 22.03822135925293, 'loss': 0.0, 'used_bw': 0.00014385614385614074, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(27, 26, {'free_bw': 25.99990415335463, 'delay': 2.478361129760742, 'loss': 0.0, 'used_bw': 9.584664536740706e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.41})
(28, 29, {'free_bw': 22.1280903006693, 'delay': 3.139495849609375, 'loss': 0.00014593317310446048, 'used_bw': 0.8719096993306994, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 50.0})
(17, 22, {'free_bw': 22.108097892318405, 'delay': 3.1108856201171875, 'loss': 0.0, 'used_bw': 0.8919021076815937, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(2, 1, {'free_bw': 26.99980817264462, 'delay': 2.226710319519043, 'loss': 0.0, 'used_bw': 0.00019182735538015756, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
