(4, 3, {'free_bw': 17.99990416292303, 'delay': 2.5168657302856445, 'loss': 0.0, 'used_bw': 9.583707696915411e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 5, {'free_bw': 26.99990416292303, 'delay': 3.090381622314453, 'loss': 0.0, 'used_bw': 9.583707696914976e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 8, {'free_bw': 9.99990416292303, 'delay': 1.5223026275634766, 'loss': 0.0, 'used_bw': 9.583707696915411e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 10.999856244384546, 'delay': 2.132892608642578, 'loss': 0.0, 'used_bw': 0.00014375561545372463, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(3, 5, {'free_bw': 24.999904028791363, 'delay': 1.9087791442871094, 'loss': 0.0, 'used_bw': 9.597120863740727e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999856043187044, 'delay': 3.564119338989258, 'loss': 0.0, 'used_bw': 0.00014395681295611745, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 22.999903951975988, 'delay': 0.8864402770996094, 'loss': 0.0, 'used_bw': 9.604802401200269e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 6, {'free_bw': 12.99985601439856, 'delay': 2.2335052490234375, 'loss': 0.0, 'used_bw': 0.00014398560143985306, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 14.999856244384546, 'delay': 1.7762184143066406, 'loss': 0.0, 'used_bw': 0.00014375561545372463, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(7, 8, {'free_bw': 23.99990400959904, 'delay': 3.0012130737304688, 'loss': 0.0, 'used_bw': 9.599040095990642e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 11, {'free_bw': 28.999904, 'delay': 2.4744272232055664, 'loss': 0.0, 'used_bw': 9.6e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.31})
(8, 2, {'free_bw': 25.99985602879424, 'delay': 2.477407455444336, 'loss': 0.0, 'used_bw': 0.00014397120575884237, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 38.08})
(8, 10, {'free_bw': 23.999904019196162, 'delay': 3.430485725402832, 'loss': 0.0, 'used_bw': 9.59808038392326e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(10, 9, {'free_bw': 29.99990400959904, 'delay': 2.4205446243286133, 'loss': 0.0, 'used_bw': 9.599040095990206e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 19.999904019196162, 'delay': 2.5185346603393555, 'loss': 0.0, 'used_bw': 9.59808038392326e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(9, 2, {'free_bw': 20.999904019196162, 'delay': 1.2240409851074219, 'loss': 0.0, 'used_bw': 9.598080383922824e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(9, 1, {'free_bw': 25.99990399039904, 'delay': 3.2254457473754883, 'loss': 0.0, 'used_bw': 9.600960096009359e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(12, 14, {'free_bw': 18.999856244384546, 'delay': 3.028273582458496, 'loss': 0.0, 'used_bw': 0.00014375561545373116, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(12, 13, {'free_bw': 17.99980832584606, 'delay': 5.616188049316406, 'loss': 0.0, 'used_bw': 0.00019167415393830822, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(12, 11, {'free_bw': 23.999856244384546, 'delay': 6.376504898071289, 'loss': 0.0, 'used_bw': 0.00014375561545372463, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(16, 11, {'free_bw': 18.99990400959904, 'delay': 2.6961565017700195, 'loss': 0.0, 'used_bw': 9.599040095990206e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.99})
(16, 15, {'free_bw': 24.99985601439856, 'delay': 16.454219818115234, 'loss': 0.0, 'used_bw': 0.00014398560143985962, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(16, 17, {'free_bw': 24.067391078215564, 'delay': 2.4709701538085938, 'loss': 0.004197720256289902, 'used_bw': 1.9326089217844356, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 50.0})
(11, 15, {'free_bw': 29.999904, 'delay': 2.964496612548828, 'loss': 0.0, 'used_bw': 9.6e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 14, {'free_bw': 29.99984801519848, 'delay': 2.766728401184082, 'loss': 0.0, 'used_bw': 0.00015198480151984493, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(15, 14, {'free_bw': 27.99990400959904, 'delay': 2.917766571044922, 'loss': 0.0, 'used_bw': 9.599040095990642e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(15, 18, {'free_bw': 22.999904, 'delay': 3.7151575088500977, 'loss': 0.0, 'used_bw': 9.6e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(15, 19, {'free_bw': 24.9767664, 'delay': 0, 'loss': 0.006890057646815645, 'used_bw': 3.0232336, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 53.85})
(15, 17, {'free_bw': 23.9775632, 'delay': 2.8007030487060547, 'loss': 0.007494862689932456, 'used_bw': 3.0224368, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 44.72})
(14, 13, {'free_bw': 18.99985601439856, 'delay': 2.3807287216186523, 'loss': 0.0, 'used_bw': 0.00014398560143985306, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(14, 19, {'free_bw': 15.99985601439856, 'delay': 215.97254276275635, 'loss': 0.0, 'used_bw': 0.00014398560143985306, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(13, 20, {'free_bw': 17.99980801919808, 'delay': 3.153085708618164, 'loss': 0.0, 'used_bw': 0.00019198080191981285, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(20, 24, {'free_bw': 22.99985602879424, 'delay': 0.804901123046875, 'loss': 0.0, 'used_bw': 0.00014397120575884893, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(20, 19, {'free_bw': 15.999856028794241, 'delay': 4.521489143371582, 'loss': 0.0, 'used_bw': 0.00014397120575884893, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(24, 19, {'free_bw': 14.977370925814823, 'delay': 0, 'loss': 0.0040946701255720926, 'used_bw': 3.0226290741851773, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 31.62})
(24, 27, {'free_bw': 19.999856215676484, 'delay': 8.870244026184082, 'loss': 0.0, 'used_bw': 0.00014378432351472322, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(24, 23, {'free_bw': 25.999904019196162, 'delay': 1.8159151077270508, 'loss': 0.0, 'used_bw': 9.59808038392326e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 22.36})
(18, 22, {'free_bw': 7.080144057623077, 'delay': 3.38137149810791, 'loss': 0.019635844341306677, 'used_bw': 2.9198559423769233, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 36.4})
(18, 19, {'free_bw': 24.999904019196162, 'delay': 0, 'loss': 0.0, 'used_bw': 9.59808038392326e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(18, 23, {'free_bw': 12.99980801919808, 'delay': 3.5212039947509766, 'loss': 0.0, 'used_bw': 0.00019198080191981285, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 56.57})
(18, 17, {'free_bw': 21.99985597119424, 'delay': 5.3261518478393555, 'loss': 0.0, 'used_bw': 0.00014402880576115155, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(19, 23, {'free_bw': 17.99985602879424, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00014397120575884893, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(22, 23, {'free_bw': 19.137363863613675, 'delay': 3.248929977416992, 'loss': 0.006090679138408838, 'used_bw': 1.8626361363863235, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 50.25})
(22, 25, {'free_bw': 18.108689599999998, 'delay': 2.114415168762207, 'loss': 0.009857894286715423, 'used_bw': 2.8913104, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 32.02})
(22, 21, {'free_bw': 18.999856215676484, 'delay': 1.85394287109375, 'loss': 0.0, 'used_bw': 0.00014378432351472975, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.21})
(22, 17, {'free_bw': 21.101466693338676, 'delay': 2.215743064880371, 'loss': 0.0, 'used_bw': 1.8985333066613232, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(23, 26, {'free_bw': 18.99985601439856, 'delay': 1.2985467910766602, 'loss': 0.0, 'used_bw': 0.00014398560143985306, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 32.02})
(23, 27, {'free_bw': 12.999856215676486, 'delay': 3.460526466369629, 'loss': 0.0, 'used_bw': 0.00014378432351472975, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(25, 21, {'free_bw': 24.99985623003195, 'delay': 2.110719680786133, 'loss': 0.0, 'used_bw': 0.00014376996805112364, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(25, 26, {'free_bw': 29.999856, 'delay': 2.070903778076172, 'loss': 0.0, 'used_bw': 0.000144, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.25})
(25, 28, {'free_bw': 18.999856, 'delay': 2.686619758605957, 'loss': 0.0, 'used_bw': 0.000144, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(21, 17, {'free_bw': 27.999904143784324, 'delay': 2.178072929382324, 'loss': 0.0, 'used_bw': 9.585621567648649e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(30, 27, {'free_bw': 22.999904143784324, 'delay': 3.312349319458008, 'loss': 0.0, 'used_bw': 9.585621567648649e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 44.72})
(30, 29, {'free_bw': 24.999903961584632, 'delay': 3.096461296081543, 'loss': 0.0, 'used_bw': 9.603841536614555e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(30, 26, {'free_bw': 21.999903961584632, 'delay': 2.1779537200927734, 'loss': 0.0, 'used_bw': 9.603841536614555e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 26.93})
(27, 26, {'free_bw': 25.999904143784324, 'delay': 2.148270606994629, 'loss': 0.0, 'used_bw': 9.585621567648649e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.41})
(29, 28, {'free_bw': 22.999807923169268, 'delay': 7.031679153442383, 'loss': 0.0, 'used_bw': 0.0001920768307322911, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(2, 1, {'free_bw': 26.999904019196162, 'delay': 4.906654357910156, 'loss': 0.0, 'used_bw': 9.598080383922824e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
