(4, 3, {'free_bw': 8.037134519287832, 'delay': 2.0437240600585938, 'loss': 0.0, 'used_bw': 9.962865480712168, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 8, {'free_bw': 9.999904248952722, 'delay': 2.2361278533935547, 'loss': 0.0, 'used_bw': 9.575104727708113e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 1.123269857128598, 'delay': 1.2121200561523438, 'loss': 4.323519333771829e-05, 'used_bw': 9.876730142871402, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 25.0})
(4, 5, {'free_bw': 26.999856086348192, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00014391365180891014, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.999904047976013, 'delay': 0, 'loss': 0.0, 'used_bw': 9.595202398801368e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999856086348192, 'delay': 1.9159317016601562, 'loss': 0.0, 'used_bw': 0.00014391365180892323, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 13.210256902761197, 'delay': 0, 'loss': 0.00016362551481254864, 'used_bw': 9.789743097238803, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 31.62})
(7, 6, {'free_bw': 3.2109741025899403, 'delay': 5.444049835205078, 'loss': 0.0, 'used_bw': 9.78902589741006, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 5.210258974102789, 'delay': 1.4190673828125, 'loss': 0.0015525374887904488, 'used_bw': 9.78974102589721, 'pkt_err': 0.0, 'pkt_drop': 26, 'distance': 30.0})
(7, 8, {'free_bw': 23.999856373429083, 'delay': 4.70423698425293, 'loss': 0.0, 'used_bw': 0.00014362657091562166, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.999904353890607, 'delay': 4.020929336547852, 'loss': 0.0, 'used_bw': 9.564610939523512e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
