(4, 3, {'free_bw': 8.037208670462912, 'delay': 3.438234329223633, 'loss': 7.627207311654935e-05, 'used_bw': 9.962791329537088, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 33.54})
(4, 8, {'free_bw': 9.999904105483967, 'delay': 2.5517940521240234, 'loss': 0.0, 'used_bw': 9.589451603236036e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 1.134389133040969, 'delay': 2.1266937255859375, 'loss': 4.2437810857250756e-05, 'used_bw': 9.865610866959031, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 25.0})
(4, 5, {'free_bw': 26.999904105483967, 'delay': 2.737760543823242, 'loss': 0.0, 'used_bw': 9.589451603236907e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.99985617259289, 'delay': 3.7603378295898438, 'loss': 0.0, 'used_bw': 0.00014382740711145727, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999904115061927, 'delay': 3.2792091369628906, 'loss': 0.0, 'used_bw': 9.588493807431353e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 13.240762896924943, 'delay': 3.062605857849121, 'loss': 0.0012281582267151397, 'used_bw': 9.759237103075057, 'pkt_err': 0.0, 'pkt_drop': 9, 'distance': 31.62})
(7, 6, {'free_bw': 3.238970732194998, 'delay': 2.652883529663086, 'loss': 0.0009408879802686588, 'used_bw': 9.761029267805002, 'pkt_err': 0.0, 'pkt_drop': 7, 'distance': 31.62})
(7, 12, {'free_bw': 5.239945665202368, 'delay': 300.06682872772217, 'loss': 0.0010845233746406518, 'used_bw': 9.760054334797632, 'pkt_err': 0.0, 'pkt_drop': 8, 'distance': 30.0})
(7, 8, {'free_bw': 23.999904105483967, 'delay': 2.6068687438964844, 'loss': 0.0, 'used_bw': 9.589451603236036e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.999808210967934, 'delay': 3.1948089599609375, 'loss': 0.0, 'used_bw': 0.00019178903206472071, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
