(4, 3, {'free_bw': 8.040503798480515, 'delay': 2.6112794876098633, 'loss': 0.0001860045204688438, 'used_bw': 9.959496201519485, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 33.54})
(4, 8, {'free_bw': 9.99985631610457, 'delay': 2.318143844604492, 'loss': 0.0, 'used_bw': 0.00014368389543005484, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 1.1293754498199782, 'delay': 2.534627914428711, 'loss': 0.0013247434609468325, 'used_bw': 9.870624550180022, 'pkt_err': 0.0, 'pkt_drop': 15, 'distance': 25.0})
(4, 5, {'free_bw': 26.99985631610457, 'delay': 1.935720443725586, 'loss': 0.0, 'used_bw': 0.00014368389543005484, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.99980842147276, 'delay': 2.7132034301757812, 'loss': 0.0, 'used_bw': 0.0001915785272400731, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.99990415335463, 'delay': 2.7036666870117188, 'loss': 0.0, 'used_bw': 9.584664536741576e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 13.225740171622368, 'delay': 2.4652481079101562, 'loss': 0.0007668235819835489, 'used_bw': 9.774259828377632, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 31.62})
(7, 6, {'free_bw': 3.2263308720813555, 'delay': 5.072832107543945, 'loss': 0.0015336312233213138, 'used_bw': 9.773669127918645, 'pkt_err': 0.0, 'pkt_drop': 8, 'distance': 31.62})
(7, 12, {'free_bw': 5.225274690123857, 'delay': 2.494692802429199, 'loss': 0.0011987332174193685, 'used_bw': 9.774725309876143, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 30.0})
(7, 8, {'free_bw': 23.99990421073638, 'delay': 2.902865409851074, 'loss': 0.0, 'used_bw': 9.578926362003655e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.99985631610457, 'delay': 2.0967721939086914, 'loss': 0.0, 'used_bw': 0.00014368389543005484, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 11, {'free_bw': 19.35808261823981, 'delay': 1.452326774597168, 'loss': 0.0019236771609909163, 'used_bw': 9.64191738176019, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 40.31})
(8, 2, {'free_bw': 16.24974440894532, 'delay': 3.237128257751465, 'loss': 0.004151891585331956, 'used_bw': 9.750255591054682, 'pkt_err': 0.0, 'pkt_drop': 13, 'distance': 38.08})
(10, 9, {'free_bw': 29.99980361241393, 'delay': 2.300381660461426, 'loss': 0.0, 'used_bw': 0.00019638758606925984, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 19.99985148218385, 'delay': 2.326846122741699, 'loss': 0.0, 'used_bw': 0.00014851781614931285, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(9, 1, {'free_bw': 25.999851511825167, 'delay': 2.098202705383301, 'loss': 0.0, 'used_bw': 0.000148488174832855, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(9, 2, {'free_bw': 20.999808402355054, 'delay': 2.116084098815918, 'loss': 0.0, 'used_bw': 0.00019159764494561935, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
