(4, 3, {'free_bw': 8.039526683989918, 'delay': 15.523076057434082, 'loss': 7.704810099204518e-05, 'used_bw': 9.960473316010082, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 33.54})
(4, 8, {'free_bw': 9.999904315757998, 'delay': 0.22876262664794922, 'loss': 0.0, 'used_bw': 9.568424200139199e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 5, {'free_bw': 26.999904325294, 'delay': 313.2680654525757, 'loss': 0.0, 'used_bw': 9.567470599960468e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 1.1363613831695094, 'delay': 2.1163225173950195, 'loss': 0.0, 'used_bw': 9.86363861683049, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(3, 5, {'free_bw': 24.999856487941, 'delay': 4.707455635070801, 'loss': 0.0, 'used_bw': 0.00014351205899940702, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.99990408632231, 'delay': 3.5920143127441406, 'loss': 0.0, 'used_bw': 9.591367769007878e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 13.24747219453823, 'delay': 5.654811859130859, 'loss': 0.0017293206707829352, 'used_bw': 9.75252780546177, 'pkt_err': 0.0, 'pkt_drop': 31, 'distance': 31.62})
(7, 6, {'free_bw': 3.2475901540921495, 'delay': 4.380583763122559, 'loss': 0.0007278249772129845, 'used_bw': 9.75240984590785, 'pkt_err': 0.0, 'pkt_drop': 13, 'distance': 31.62})
(7, 12, {'free_bw': 5.247972047519047, 'delay': 3.014087677001953, 'loss': 0.0005473938216480044, 'used_bw': 9.752027952480953, 'pkt_err': 0.0, 'pkt_drop': 10, 'distance': 30.0})
(7, 8, {'free_bw': 23.999808631515997, 'delay': 2.342700958251953, 'loss': 0.0, 'used_bw': 0.00019136848400278398, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.999904315758, 'delay': 3.036379814147949, 'loss': 0.0, 'used_bw': 9.568424200139199e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
