(4, 3, {'free_bw': 10.9351472, 'delay': 1.6107559204101562, 'loss': 0.0, 'used_bw': 7.0648528, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 8, {'free_bw': 9.999808344979037, 'delay': 1.7046928405761719, 'loss': 0.0, 'used_bw': 0.00019165502096226737, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 5, {'free_bw': 26.999808, 'delay': 3.583192825317383, 'loss': 0.0, 'used_bw': 0.000192, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 3.998791895398906, 'delay': 1.423478126525879, 'loss': 0.001770348655683066, 'used_bw': 7.001208104601094, 'pkt_err': 0.0, 'pkt_drop': 8, 'distance': 25.0})
(3, 5, {'free_bw': 24.999904, 'delay': 1.479029655456543, 'loss': 0.0, 'used_bw': 9.6e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999904, 'delay': 2.186417579650879, 'loss': 0.0, 'used_bw': 9.6e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 20.471121668829284, 'delay': 1.1489391326904297, 'loss': 0.0007201115221589172, 'used_bw': 2.528878331170717, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 31.62})
(7, 6, {'free_bw': 10.4699095718135, 'delay': 2.3233890533447266, 'loss': 0.0010801505270378324, 'used_bw': 2.5300904281865018, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 31.62})
(7, 12, {'free_bw': 12.47272792720733, 'delay': 1.4339685440063477, 'loss': 0.0010801506323564944, 'used_bw': 2.527272072792669, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 30.0})
(7, 8, {'free_bw': 23.99990417248952, 'delay': 2.65347957611084, 'loss': 0.0, 'used_bw': 9.582751048113369e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.99990417248952, 'delay': 2.231597900390625, 'loss': 0.0, 'used_bw': 9.582751048113369e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 24.49091112890315, 'delay': 2.4776458740234375, 'loss': 0.003486617109212439, 'used_bw': 1.509088871096849, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 38.08})
(8, 11, {'free_bw': 27.499738991192984, 'delay': 2.769947052001953, 'loss': 0.00117364740034407, 'used_bw': 1.5002610088070172, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 40.31})
(10, 9, {'free_bw': 29.0330440352282, 'delay': 1.7794370651245117, 'loss': 0.0021256117635960023, 'used_bw': 0.9669559647717991, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 31.62})
(10, 16, {'free_bw': 19.043953562850298, 'delay': 1.936793327331543, 'loss': 0.0, 'used_bw': 0.9560464371497016, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
