(4, 3, {'free_bw': 12.816447776112, 'delay': 1.5588998794555664, 'loss': 3.2326107949721185e-05, 'used_bw': 5.183552223887999, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 33.54})
(4, 8, {'free_bw': 9.999904047976012, 'delay': 2.388477325439453, 'loss': 0.0, 'used_bw': 9.595202398800495e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 5, {'free_bw': 26.999904047976013, 'delay': 3.0726194381713867, 'loss': 0.0, 'used_bw': 9.595202398800495e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 5.87168236823672, 'delay': 3.369569778442383, 'loss': 0.0004663355982248441, 'used_bw': 5.12831763176328, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 25.0})
(3, 5, {'free_bw': 24.999808095952023, 'delay': 2.2835731506347656, 'loss': 0.0, 'used_bw': 0.0001919040479760099, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999856071964018, 'delay': 1.6589164733886719, 'loss': 0.0, 'used_bw': 0.00014392803598200742, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 19.784264026402575, 'delay': 2.9709339141845703, 'loss': 0.0, 'used_bw': 3.215735973597425, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 6, {'free_bw': 9.782419041904417, 'delay': 1.6160011291503906, 'loss': 0.0, 'used_bw': 3.2175809580955828, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 11.77940069965021, 'delay': 3.0232667922973633, 'loss': 0.0, 'used_bw': 3.22059930034979, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(7, 8, {'free_bw': 23.999856, 'delay': 2.277255058288574, 'loss': 0.0, 'used_bw': 0.000144, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.999904019196162, 'delay': 1.7379522323608398, 'loss': 0.0, 'used_bw': 9.598080383922824e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 24.14686588658862, 'delay': 2.048492431640625, 'loss': 0.00010361874976855812, 'used_bw': 1.8531341134113788, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 38.08})
(8, 11, {'free_bw': 27.160731273127276, 'delay': 2.404332160949707, 'loss': 0.0, 'used_bw': 1.8392687268727248, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.31})
