(4, 3, {'free_bw': 14.867201279872077, 'delay': 257.8001022338867, 'loss': 0.0, 'used_bw': 3.1327987201279233, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 8, {'free_bw': 9.999904182054097, 'delay': 2.9338598251342773, 'loss': 0.0, 'used_bw': 9.581794590278684e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 7.901015498450077, 'delay': 1.0712146759033203, 'loss': 0.007605137255146226, 'used_bw': 3.0989845015499227, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 25.0})
(4, 5, {'free_bw': 26.999856043187044, 'delay': 1.9772052764892578, 'loss': 0.0, 'used_bw': 0.00014395681295611745, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.999904028791363, 'delay': 3.536343574523926, 'loss': 0.0, 'used_bw': 9.597120863741163e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.99990400959904, 'delay': 2.2735595703125, 'loss': 0.0, 'used_bw': 9.599040095990206e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 20.721808257522675, 'delay': 1.9376277923583984, 'loss': 0.0031266052182731324, 'used_bw': 2.2781917424773246, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 31.62})
(7, 6, {'free_bw': 10.718073985203052, 'delay': 1.0302066802978516, 'loss': 0.003126396579317404, 'used_bw': 2.2819260147969476, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 31.62})
(7, 12, {'free_bw': 12.720495900819929, 'delay': 0, 'loss': 0.006252898070089886, 'used_bw': 2.279504099180071, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 30.0})
(7, 8, {'free_bw': 23.9999041820541, 'delay': 2.593874931335449, 'loss': 0.0, 'used_bw': 9.581794590278684e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 11, {'free_bw': 27.338691992402307, 'delay': 2.6068687438964844, 'loss': 0.004756544710200759, 'used_bw': 1.6613080075976947, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 40.31})
(8, 10, {'free_bw': 23.9999041820541, 'delay': 4.60362434387207, 'loss': 0.0, 'used_bw': 9.581794590278249e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 24.322330966903266, 'delay': 3.2237768173217773, 'loss': 0.004711441333842028, 'used_bw': 1.6776690330967323, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 38.08})
(10, 9, {'free_bw': 28.82265053494653, 'delay': 1.6270875930786133, 'loss': 0.008423143103081468, 'used_bw': 1.1773494650534706, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 31.62})
(10, 16, {'free_bw': 18.831244951009793, 'delay': 3.3850669860839844, 'loss': 0.0, 'used_bw': 1.1687550489902074, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(9, 2, {'free_bw': 20.99985625873428, 'delay': 1.4226436614990234, 'loss': 0.0, 'used_bw': 0.00014374126572170052, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(9, 1, {'free_bw': 24.822070785842826, 'delay': 2.5910139083862305, 'loss': 0.004212202410960051, 'used_bw': 1.177929214157174, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 31.62})
