(4, 3, {'free_bw': 8.036694974522945, 'delay': 9.539961814880371, 'loss': 9.318626478844758e-05, 'used_bw': 9.963305025477055, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 33.54})
(4, 8, {'free_bw': 9.999856129483465, 'delay': 3.63004207611084, 'loss': 0.0, 'used_bw': 0.0001438705165351182, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 5, {'free_bw': 26.999904220293324, 'delay': 3.311634063720703, 'loss': 0.0, 'used_bw': 9.577970667464699e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 1.1472562693575927, 'delay': 1.8600225448608398, 'loss': 0.0, 'used_bw': 9.852743730642407, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(3, 5, {'free_bw': 24.999904220293324, 'delay': 2.1009445190429688, 'loss': 0.0, 'used_bw': 9.577970667464699e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.99985617259289, 'delay': 4.109740257263184, 'loss': 0.0, 'used_bw': 0.0001438274071114703, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 13.209419664269289, 'delay': 5.792737007141113, 'loss': 0.0008179481609844997, 'used_bw': 9.790580335730711, 'pkt_err': 0.0, 'pkt_drop': 16, 'distance': 31.62})
(7, 6, {'free_bw': 3.208161470823155, 'delay': 3.512859344482422, 'loss': 0.0006197340854071442, 'used_bw': 9.791838529176845, 'pkt_err': 0.0, 'pkt_drop': 12, 'distance': 31.62})
(7, 12, {'free_bw': 5.2057224995009275, 'delay': 1.9341707229614258, 'loss': 0.0005639067211341171, 'used_bw': 9.794277500499073, 'pkt_err': 0.0, 'pkt_drop': 11, 'distance': 30.0})
(7, 8, {'free_bw': 23.99990417248952, 'delay': 3.2706260681152344, 'loss': 0.0, 'used_bw': 9.582751048113369e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.99990392313851, 'delay': 0.9176731109619141, 'loss': 0.0, 'used_bw': 9.607686148918953e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
