(13, 20, {'free_bw': 0.1027202559495386, 'delay': 318.0403709411621, 'loss': 9.097117890256458e-05, 'used_bw': 17.89727974405046, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 30.0})
(24, 20, {'free_bw': 13.853496, 'delay': 1.7476081848144531, 'loss': 0.00016102517938273344, 'used_bw': 9.146504, 'pkt_err': 0.0, 'pkt_drop': 5, 'distance': 31.62})
(24, 27, {'free_bw': 1.9055376000000024, 'delay': 3.6481618881225586, 'loss': 2.294691070065381e-05, 'used_bw': 18.094462399999998, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 41.23})
(24, 23, {'free_bw': 25.999856, 'delay': 1.9311904907226562, 'loss': 0.0, 'used_bw': 0.000144, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 22.36})
(24, 19, {'free_bw': 0.07642560000000032, 'delay': 321.6129541397095, 'loss': 0.0, 'used_bw': 17.9235744, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(20, 19, {'free_bw': 15.99990401919616, 'delay': 2.550959587097168, 'loss': 0.0, 'used_bw': 9.598080383922824e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(18, 19, {'free_bw': 24.999856273081146, 'delay': 2.018570899963379, 'loss': 0.0, 'used_bw': 0.00014372691885417374, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(18, 22, {'free_bw': 1.0660806387221324, 'delay': 4.968523979187012, 'loss': 4.564911218650282e-05, 'used_bw': 8.933919361277868, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 36.4})
(18, 17, {'free_bw': 21.9999041820541, 'delay': 2.27510929107666, 'loss': 0.0, 'used_bw': 9.581794590278249e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(18, 23, {'free_bw': 3.6013529352933364, 'delay': 2.7207136154174805, 'loss': 0.0006380567419009849, 'used_bw': 9.398647064706664, 'pkt_err': 0.0, 'pkt_drop': 14, 'distance': 56.57})
(19, 23, {'free_bw': 17.999856, 'delay': 2.430438995361328, 'loss': 0.0, 'used_bw': 0.000144, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(23, 27, {'free_bw': 12.999904, 'delay': 2.5434494018554688, 'loss': 0.0, 'used_bw': 9.6e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(23, 22, {'free_bw': 19.35030463046301, 'delay': 2.371072769165039, 'loss': 0.0004504349526301769, 'used_bw': 1.6496953695369874, 'pkt_err': 0.0, 'pkt_drop': 8, 'distance': 50.25})
(23, 26, {'free_bw': 9.6960792079206, 'delay': 1.9034147262573242, 'loss': 0.000742918679257706, 'used_bw': 9.3039207920794, 'pkt_err': 0.0, 'pkt_drop': 16, 'distance': 32.02})
(25, 21, {'free_bw': 24.999904028791363, 'delay': 3.929734230041504, 'loss': 0.0, 'used_bw': 9.597120863741163e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(25, 26, {'free_bw': 29.99990417248952, 'delay': 3.4513473510742188, 'loss': 0.0, 'used_bw': 9.582751048113369e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.25})
(25, 28, {'free_bw': 18.99707287813656, 'delay': 1.7821788787841797, 'loss': 0.0, 'used_bw': 0.002927121863441055, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(25, 22, {'free_bw': 12.149911377245092, 'delay': 1.5149116516113281, 'loss': 0.00016195032304803662, 'used_bw': 8.850088622754908, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 32.02})
(21, 17, {'free_bw': 27.999856043187044, 'delay': 6.37054443359375, 'loss': 0.0, 'used_bw': 0.00014395681295610436, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(21, 22, {'free_bw': 18.99985628742515, 'delay': 4.162788391113281, 'loss': 0.0, 'used_bw': 0.0001437125748503062, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.21})
(30, 27, {'free_bw': 14.050329701089407, 'delay': 1.9682645797729492, 'loss': 0.000558239443777497, 'used_bw': 8.949670298910593, 'pkt_err': 0.0, 'pkt_drop': 9, 'distance': 44.72})
(30, 26, {'free_bw': 21.99990417248952, 'delay': 3.7823915481567383, 'loss': 0.0, 'used_bw': 9.582751048113369e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 26.93})
(30, 29, {'free_bw': 24.999904028791363, 'delay': 2.9658079147338867, 'loss': 0.0, 'used_bw': 9.597120863741163e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(27, 26, {'free_bw': 25.999808344979037, 'delay': 2.32851505279541, 'loss': 0.0, 'used_bw': 0.00019165502096226737, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.41})
(28, 29, {'free_bw': 22.99707287813656, 'delay': 4.510998725891113, 'loss': 0.0, 'used_bw': 0.002927121863441055, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(17, 22, {'free_bw': 21.302705788423072, 'delay': 2.9376745223999023, 'loss': 6.707025673872087e-05, 'used_bw': 1.6972942115769265, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 46.1})
(2, 1, {'free_bw': 26.99985602879424, 'delay': 2.8836727142333984, 'loss': 0.0, 'used_bw': 0.00014397120575885546, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
