(4, 3, {'free_bw': 17.999904325294, 'delay': 2.6612281799316406, 'loss': 0.0, 'used_bw': 9.567470599960468e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 8, {'free_bw': 9.999904325294, 'delay': 2.940535545349121, 'loss': 0.0, 'used_bw': 9.567470599960468e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 10.999808669656204, 'delay': 1.943349838256836, 'loss': 0.0, 'used_bw': 0.0001913303437967143, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 5, {'free_bw': 26.999808650588, 'delay': 2.193927764892578, 'loss': 0.0, 'used_bw': 0.00019134941199920935, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.999808306709266, 'delay': 3.1960010528564453, 'loss': 0.0, 'used_bw': 0.00019169329073483152, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.99980823012385, 'delay': 2.529740333557129, 'loss': 0.0, 'used_bw': 0.0001917698761486097, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 22.99990420117753, 'delay': 1.3419389724731445, 'loss': 0.0, 'used_bw': 9.579882247280097e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 6, {'free_bw': 12.999904201177527, 'delay': 2.7033090591430664, 'loss': 0.0, 'used_bw': 9.579882247280097e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 14.999904325294, 'delay': 3.3947229385375977, 'loss': 0.0, 'used_bw': 9.567470599960468e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(7, 8, {'free_bw': 23.99985631610457, 'delay': 1.9997358322143555, 'loss': 0.0, 'used_bw': 0.00014368389543006785, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.99980842147276, 'delay': 3.010988235473633, 'loss': 0.0, 'used_bw': 0.00019157852724009045, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 25.99985631610457, 'delay': 2.698063850402832, 'loss': 0.0, 'used_bw': 0.00014368389543006785, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 38.08})
