(4, 3, {'free_bw': 14.816610711430794, 'delay': 2.7511119842529297, 'loss': 0.0, 'used_bw': 3.183389288569205, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 8, {'free_bw': 9.999808230123852, 'delay': 2.780318260192871, 'loss': 0.0, 'used_bw': 0.00019176987614862706, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 5, {'free_bw': 26.999904105483967, 'delay': 2.345442771911621, 'loss': 0.0, 'used_bw': 9.589451603236036e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 7.838973415950528, 'delay': 1.6175508499145508, 'loss': 0.0004375006753088075, 'used_bw': 3.161026584049471, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 25.0})
(3, 5, {'free_bw': 24.999904105483967, 'delay': 1.5381574630737305, 'loss': 0.0, 'used_bw': 9.589451603236036e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.99990407673861, 'delay': 2.3126602172851562, 'loss': 0.0, 'used_bw': 9.592326139088911e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 20.167443012685908, 'delay': 1.7632246017456055, 'loss': 0.0, 'used_bw': 2.8325569873140926, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 6, {'free_bw': 10.166234741784157, 'delay': 1.8799304962158203, 'loss': 0.0012740671625860148, 'used_bw': 2.8337652582158426, 'pkt_err': 0.0, 'pkt_drop': 5, 'distance': 31.62})
(7, 12, {'free_bw': 12.161407155706666, 'delay': 1.857757568359375, 'loss': 0.0010298799336161076, 'used_bw': 2.838592844293335, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 30.0})
(7, 8, {'free_bw': 23.99985617259289, 'delay': 1.835942268371582, 'loss': 0.0, 'used_bw': 0.0001438274071114703, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.99985617259289, 'delay': 1.620650291442871, 'loss': 0.0, 'used_bw': 0.0001438274071114703, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 24.453497403116216, 'delay': 2.2869110107421875, 'loss': 0.00045702107982032423, 'used_bw': 1.5465025968837833, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 38.08})
(8, 11, {'free_bw': 27.468456526084257, 'delay': 1.7552375793457031, 'loss': 0.00010286157452355639, 'used_bw': 1.531543473915742, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 40.31})
(10, 9, {'free_bw': 29.999904105483967, 'delay': 1.5393495559692383, 'loss': 0.0, 'used_bw': 9.589451603236907e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 19.999904067152993, 'delay': 1.9055604934692383, 'loss': 0.0, 'used_bw': 9.59328470070988e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(9, 1, {'free_bw': 25.999904105483967, 'delay': 2.0464658737182617, 'loss': 0.0, 'used_bw': 9.589451603236907e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(9, 2, {'free_bw': 20.999904105483967, 'delay': 4.752755165100098, 'loss': 0.0, 'used_bw': 9.589451603236907e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(12, 14, {'free_bw': 18.999904067152993, 'delay': 0, 'loss': 0.0, 'used_bw': 9.59328470070988e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(12, 13, {'free_bw': 15.193986813186875, 'delay': 2.464890480041504, 'loss': 0.0017617640552519925, 'used_bw': 2.806013186813126, 'pkt_err': 0.0, 'pkt_drop': 7, 'distance': 31.62})
(12, 11, {'free_bw': 20.96076274235468, 'delay': 3.777623176574707, 'loss': 0.0001498353990034947, 'used_bw': 3.039237257645318, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 50.0})
(16, 11, {'free_bw': 18.99990405756546, 'delay': 2.669095993041992, 'loss': 0.0, 'used_bw': 9.594243453927343e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.99})
(16, 15, {'free_bw': 24.99990405756546, 'delay': 1.244664192199707, 'loss': 0.0, 'used_bw': 9.594243453927343e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(16, 17, {'free_bw': 24.01011494252876, 'delay': 4.256725311279297, 'loss': 5.738575078551551e-05, 'used_bw': 1.9898850574712428, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 50.0})
(11, 15, {'free_bw': 29.99990405756546, 'delay': 2.825617790222168, 'loss': 0.0, 'used_bw': 9.594243453927343e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 14, {'free_bw': 28.496129522286676, 'delay': 0, 'loss': 0.0, 'used_bw': 1.5038704777133252, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
