(4, 3, {'free_bw': 8.038267892842768, 'delay': 1.8990039825439453, 'loss': 8.016922679564438e-05, 'used_bw': 9.961732107157232, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 33.54})
(4, 8, {'free_bw': 9.999808497905446, 'delay': 2.429962158203125, 'loss': 0.0, 'used_bw': 0.00019150209455416227, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 1.1353945816252171, 'delay': 2.113938331604004, 'loss': 0.0, 'used_bw': 9.864605418374783, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 5, {'free_bw': 26.999904028791363, 'delay': 7.084250450134277, 'loss': 0.0, 'used_bw': 9.597120863741163e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.99985605757697, 'delay': 7.558465003967285, 'loss': 0.0, 'used_bw': 0.00014394242303078907, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999904038384646, 'delay': 2.62606143951416, 'loss': 0.0, 'used_bw': 9.596161535385936e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 22.999904019196162, 'delay': 2.6584863662719727, 'loss': 0.0, 'used_bw': 9.598080383923697e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 6, {'free_bw': 12.99990401919616, 'delay': 2.120375633239746, 'loss': 0.0, 'used_bw': 9.598080383922824e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 14.999904028791363, 'delay': 2.2192001342773438, 'loss': 0.0, 'used_bw': 9.59712086374029e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(7, 8, {'free_bw': 23.999856373429083, 'delay': 6.028175354003906, 'loss': 0.0, 'used_bw': 0.00014362657091562166, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.999904248952724, 'delay': 2.5115013122558594, 'loss': 0.0, 'used_bw': 9.575104727707243e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 16.237510472771525, 'delay': 13.653874397277832, 'loss': 0.0009535030704993079, 'used_bw': 9.762489527228475, 'pkt_err': 0.0, 'pkt_drop': 16, 'distance': 38.08})
(8, 11, {'free_bw': 19.335998404149933, 'delay': 1.5337467193603516, 'loss': 0.0002991730917402614, 'used_bw': 9.664001595850065, 'pkt_err': 0.0, 'pkt_drop': 5, 'distance': 40.31})
(10, 9, {'free_bw': 21.15494783042362, 'delay': 1.727461814880371, 'loss': 0.0006637331817284352, 'used_bw': 8.84505216957638, 'pkt_err': 0.0, 'pkt_drop': 9, 'distance': 31.62})
(10, 16, {'free_bw': 11.240108800000002, 'delay': 2.1458864212036133, 'loss': 8.275778315208862e-05, 'used_bw': 8.759891199999998, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 41.23})
(9, 2, {'free_bw': 20.999904239401495, 'delay': 2.4318695068359375, 'loss': 0.0, 'used_bw': 9.576059850374411e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(9, 1, {'free_bw': 17.155719628037374, 'delay': 6.050348281860352, 'loss': 0.00037283108882542467, 'used_bw': 8.844280371962624, 'pkt_err': 0.0, 'pkt_drop': 5, 'distance': 31.62})
(12, 14, {'free_bw': 18.999856043187044, 'delay': 3.2836198806762695, 'loss': 0.0, 'used_bw': 0.00014395681295611745, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(12, 11, {'free_bw': 14.233862641208235, 'delay': 1.9795894622802734, 'loss': 0.000554325044418244, 'used_bw': 9.766137358791765, 'pkt_err': 0.0, 'pkt_drop': 13, 'distance': 50.0})
(12, 13, {'free_bw': 17.999904028791363, 'delay': 2.010464668273926, 'loss': 0.0, 'used_bw': 9.597120863741163e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(16, 11, {'free_bw': 18.99985601439856, 'delay': 3.585696220397949, 'loss': 0.0, 'used_bw': 0.00014398560143985306, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.99})
(16, 15, {'free_bw': 24.99990400959904, 'delay': 2.3543834686279297, 'loss': 0.0, 'used_bw': 9.599040095990206e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(16, 17, {'free_bw': 8.057894399999999, 'delay': 4.560947418212891, 'loss': 0.00030418023780115976, 'used_bw': 17.9421056, 'pkt_err': 0.0, 'pkt_drop': 9, 'distance': 50.0})
(11, 15, {'free_bw': 29.99985601439856, 'delay': 1.77764892578125, 'loss': 0.0, 'used_bw': 0.00014398560143985306, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 14, {'free_bw': 20.507269926992507, 'delay': 1.8205642700195312, 'loss': 0.00020123633516728264, 'used_bw': 9.492730073007495, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 42.43})
(15, 14, {'free_bw': 27.99980801919808, 'delay': 2.3478269577026367, 'loss': 0.0, 'used_bw': 0.00019198080191980412, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(15, 18, {'free_bw': 13.44414758524167, 'delay': 2.072930335998535, 'loss': 0.0001803381106907085, 'used_bw': 9.55585241475833, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 20.0})
(15, 19, {'free_bw': 18.542985701430048, 'delay': 3.3627748489379883, 'loss': 0.00039832167572395816, 'used_bw': 9.457014298569952, 'pkt_err': 0.0, 'pkt_drop': 10, 'distance': 53.85})
(15, 17, {'free_bw': 17.54303369663053, 'delay': 3.3332109451293945, 'loss': 0.0, 'used_bw': 9.45696630336947, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 44.72})
(14, 13, {'free_bw': 18.999856, 'delay': 4.078149795532227, 'loss': 0.0, 'used_bw': 0.000144, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(14, 19, {'free_bw': 6.507269926992505, 'delay': 1.5665292739868164, 'loss': 0.0003353945362697949, 'used_bw': 9.492730073007495, 'pkt_err': 0.0, 'pkt_drop': 5, 'distance': 31.62})
(13, 20, {'free_bw': 8.0358576, 'delay': 4.772305488586426, 'loss': 4.758459724767917e-05, 'used_bw': 9.9641424, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 30.0})
(24, 20, {'free_bw': 13.036853914607835, 'delay': 1.8663406372070312, 'loss': 0.00026316524215458153, 'used_bw': 9.963146085392165, 'pkt_err': 0.0, 'pkt_drop': 8, 'distance': 31.62})
(24, 19, {'free_bw': 0.10534946505385889, 'delay': 322.6747512817383, 'loss': 7.006763336730712e-05, 'used_bw': 17.89465053494614, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 31.62})
(24, 27, {'free_bw': 1.124065573770313, 'delay': 2.288222312927246, 'loss': 0.00014576032916456305, 'used_bw': 18.875934426229687, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 41.23})
