(18, 22, {'free_bw': 0, 'delay': 1.7305612564086914, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(18, 23, {'free_bw': 0, 'delay': 2.686023712158203, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(19, 23, {'free_bw': 0, 'delay': 2.827167510986328, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(23, 26, {'free_bw': 0, 'delay': 2.4749040603637695, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(23, 27, {'free_bw': 0, 'delay': 5.141615867614746, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(23, 22, {'free_bw': 0, 'delay': 2.0323991775512695, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(25, 21, {'free_bw': 0, 'delay': 2.716660499572754, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(25, 26, {'free_bw': 0, 'delay': 2.7763843536376953, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(25, 28, {'free_bw': 0, 'delay': 2.494692802429199, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(25, 22, {'free_bw': 0, 'delay': 4.828691482543945, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(21, 17, {'free_bw': 0, 'delay': 5.264997482299805, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(21, 22, {'free_bw': 0, 'delay': 2.521634101867676, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(30, 27, {'free_bw': 0, 'delay': 2.9445886611938477, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(30, 26, {'free_bw': 0, 'delay': 2.108931541442871, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(30, 29, {'free_bw': 0, 'delay': 2.7495622634887695, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(27, 26, {'free_bw': 0, 'delay': 2.5665760040283203, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(28, 29, {'free_bw': 0, 'delay': 2.2835731506347656, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(1, 2, {'free_bw': 0, 'delay': 2.4192333221435547, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(22, 17, {'free_bw': 0, 'delay': 1.8227100372314453, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
