(4, 3, {'free_bw': 8.041097756410634, 'delay': 1.5946626663208008, 'loss': 5.4842270787487215e-05, 'used_bw': 9.958902243589366, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 33.54})
(4, 8, {'free_bw': 9.999904028791363, 'delay': 2.2073984146118164, 'loss': 0.0, 'used_bw': 9.597120863741163e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 1.1502599660305872, 'delay': 1.9726753234863281, 'loss': 0.0009224755701927533, 'used_bw': 9.849740033969413, 'pkt_err': 0.0, 'pkt_drop': 18, 'distance': 25.0})
(4, 5, {'free_bw': 26.99985605757697, 'delay': 5.983471870422363, 'loss': 0.0, 'used_bw': 0.00014394242303078907, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.999904038384646, 'delay': 1.7207860946655273, 'loss': 0.0, 'used_bw': 9.596161535385936e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.99990408632231, 'delay': 1.3885498046875, 'loss': 0.0, 'used_bw': 9.591367769007878e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 13.236565947242022, 'delay': 2.800107002258301, 'loss': 0.0006242452229797957, 'used_bw': 9.763434052757978, 'pkt_err': 0.0, 'pkt_drop': 7, 'distance': 31.62})
(7, 6, {'free_bw': 3.2362833449895234, 'delay': 0.8878707885742188, 'loss': 0.0011531884576711435, 'used_bw': 9.763716655010477, 'pkt_err': 0.0, 'pkt_drop': 13, 'distance': 31.62})
(7, 12, {'free_bw': 5.236517985612213, 'delay': 4.18400764465332, 'loss': 0.0011531995954549132, 'used_bw': 9.763482014387787, 'pkt_err': 0.0, 'pkt_drop': 13, 'distance': 30.0})
(7, 8, {'free_bw': 23.999856143856142, 'delay': 1.0690689086914062, 'loss': 0.0, 'used_bw': 0.00014385614385614074, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 16.239521743476665, 'delay': 1.7635822296142578, 'loss': 0.0011534151111987682, 'used_bw': 9.760478256523333, 'pkt_err': 0.0, 'pkt_drop': 11, 'distance': 38.08})
