(4, 3, {'free_bw': 9.664316483515908, 'delay': 2.976059913635254, 'loss': 6.79724522691093e-05, 'used_bw': 8.335683516484092, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 33.54})
(4, 8, {'free_bw': 9.999903980796159, 'delay': 1.7940998077392578, 'loss': 0.0, 'used_bw': 9.601920384076334e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 5, {'free_bw': 26.999856129483465, 'delay': 1.9955635070800781, 'loss': 0.0, 'used_bw': 0.0001438705165351182, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 2.727055811161895, 'delay': 2.104640007019043, 'loss': 0.0, 'used_bw': 8.272944188838105, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(3, 5, {'free_bw': 24.999904095904096, 'delay': 1.7448663711547852, 'loss': 0.0, 'used_bw': 9.590409590410254e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999904095904096, 'delay': 2.6955604553222656, 'loss': 0.0, 'used_bw': 9.590409590409381e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 19.802442601658512, 'delay': 4.569530487060547, 'loss': 0.00036026623674895744, 'used_bw': 3.197557398341488, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 31.62})
(7, 6, {'free_bw': 9.80133133553076, 'delay': 1.8985271453857422, 'loss': 0.0003528767717421414, 'used_bw': 3.1986686644692397, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 31.62})
(7, 12, {'free_bw': 11.799327798339306, 'delay': 1.902461051940918, 'loss': 0.0, 'used_bw': 3.2006722016606934, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(7, 8, {'free_bw': 23.999904105483967, 'delay': 1.5546083450317383, 'loss': 0.0, 'used_bw': 9.589451603236907e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.999904105483967, 'delay': 0.14281272888183594, 'loss': 0.0, 'used_bw': 9.589451603236036e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 24.421712687312578, 'delay': 2.504587173461914, 'loss': 0.0, 'used_bw': 1.5782873126874217, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 38.08})
(8, 11, {'free_bw': 27.432438487697475, 'delay': 2.7451515197753906, 'loss': 5.3325184042988134e-05, 'used_bw': 1.5675615123025244, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 40.31})
