(4, 3, {'free_bw': 8.037563131060384, 'delay': 1.7925500869750977, 'loss': 4.7910558837147375e-05, 'used_bw': 9.962436868939616, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 33.54})
(4, 8, {'free_bw': 9.999904038384646, 'delay': 2.2459030151367188, 'loss': 0.0, 'used_bw': 9.596161535385936e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 1.1486114165747328, 'delay': 2.0078420639038086, 'loss': 4.83932708807795e-05, 'used_bw': 9.851388583425267, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 25.0})
(4, 5, {'free_bw': 26.999856043187044, 'delay': 1.8429756164550781, 'loss': 0.0, 'used_bw': 0.00014395681295610436, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.999904019196162, 'delay': 2.1886825561523438, 'loss': 0.0, 'used_bw': 9.598080383923697e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999904019196162, 'delay': 0.5490779876708984, 'loss': 0.0, 'used_bw': 9.598080383923697e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 13.227922714986073, 'delay': 2.639293670654297, 'loss': 0.00019446595600296568, 'used_bw': 9.772077285013927, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 31.62})
(7, 6, {'free_bw': 3.2262029797022294, 'delay': 1.8655061721801758, 'loss': 0.0004994069715932239, 'used_bw': 9.77379702029777, 'pkt_err': 0.0, 'pkt_drop': 7, 'distance': 31.62})
(7, 12, {'free_bw': 5.226946316104877, 'delay': 2.057790756225586, 'loss': 0.0004231688913707837, 'used_bw': 9.773053683895123, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 30.0})
(7, 8, {'free_bw': 23.999904028791363, 'delay': 2.1609067916870117, 'loss': 0.0, 'used_bw': 9.597120863741163e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 16.236021595680377, 'delay': 1.900315284729004, 'loss': 0.00022396502450832678, 'used_bw': 9.763978404319625, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 38.08})
(8, 11, {'free_bw': 19.3344208, 'delay': 3.3200979232788086, 'loss': 0.0005810493584914832, 'used_bw': 9.6655792, 'pkt_err': 0.0, 'pkt_drop': 7, 'distance': 40.31})
(8, 10, {'free_bw': 23.999904038384646, 'delay': 2.6024580001831055, 'loss': 0.0, 'used_bw': 9.596161535385936e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(10, 9, {'free_bw': 21.151760047989956, 'delay': 3.2219886779785156, 'loss': 0.00037752340690066046, 'used_bw': 8.848239952010044, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 31.62})
(10, 16, {'free_bw': 11.237266146770205, 'delay': 3.601670265197754, 'loss': 0.0, 'used_bw': 8.762733853229795, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(9, 1, {'free_bw': 17.151433769868774, 'delay': 4.098296165466309, 'loss': 0.0, 'used_bw': 8.848566230131224, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(9, 2, {'free_bw': 20.999904028791363, 'delay': 2.276778221130371, 'loss': 0.0, 'used_bw': 9.597120863741163e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
