(4, 3, {'free_bw': 11.280271945611151, 'delay': 1.9671916961669922, 'loss': 0.00025799444590613374, 'used_bw': 6.719728054388848, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 33.54})
(4, 8, {'free_bw': 9.999856028794241, 'delay': 1.479029655456543, 'loss': 0.0, 'used_bw': 0.00014397120575885546, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 4.353593921823255, 'delay': 2.416253089904785, 'loss': 0.0, 'used_bw': 6.646406078176745, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 5, {'free_bw': 26.99985602879424, 'delay': 2.150297164916992, 'loss': 0.0, 'used_bw': 0.00014397120575885546, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.999904019196162, 'delay': 1.9097328186035156, 'loss': 0.0, 'used_bw': 9.598080383922824e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.99980803839232, 'delay': 1.7093420028686523, 'loss': 0.0, 'used_bw': 0.00019196160767847393, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 20.41250949810025, 'delay': 1.752018928527832, 'loss': 0.0, 'used_bw': 2.58749050189975, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 6, {'free_bw': 10.411654903529099, 'delay': 4.703283309936523, 'loss': 0.0, 'used_bw': 2.5883450964709005, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 12.411137286271426, 'delay': 3.6284923553466797, 'loss': 0.0, 'used_bw': 2.5888627137285747, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(7, 8, {'free_bw': 23.999904028791363, 'delay': 2.3523569107055664, 'loss': 0.0, 'used_bw': 9.597120863741163e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.999904019196162, 'delay': 1.956939697265625, 'loss': 0.0, 'used_bw': 9.598080383922824e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 11, {'free_bw': 27.730441044104385, 'delay': 3.309965133666992, 'loss': 0.0007613627331630111, 'used_bw': 1.2695589558956155, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 40.31})
