(4, 3, {'free_bw': 8.038923415317342, 'delay': 3.867983818054199, 'loss': 6.349295240138515e-05, 'used_bw': 9.961076584682658, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 33.54})
(4, 8, {'free_bw': 9.999808536098923, 'delay': 3.448486328125, 'loss': 0.0, 'used_bw': 0.00019146390107697972, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 1.1411813637267585, 'delay': 3.204941749572754, 'loss': 0.0014527443811429004, 'used_bw': 9.858818636273242, 'pkt_err': 0.0, 'pkt_drop': 24, 'distance': 25.0})
(4, 5, {'free_bw': 26.99990407673861, 'delay': 2.1375417709350586, 'loss': 0.0, 'used_bw': 9.592326139088039e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.999856115107914, 'delay': 1.280665397644043, 'loss': 0.0, 'used_bw': 0.00014388489208632058, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.99990400959904, 'delay': 2.4263858795166016, 'loss': 0.0, 'used_bw': 9.599040095990206e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 13.23683925009996, 'delay': 2.784132957458496, 'loss': 0.0008083809803676284, 'used_bw': 9.76316074990004, 'pkt_err': 0.0, 'pkt_drop': 7, 'distance': 31.62})
(7, 6, {'free_bw': 3.2367891265235045, 'delay': 2.4530887603759766, 'loss': 0.0013699470739433465, 'used_bw': 9.763210873476496, 'pkt_err': 0.0, 'pkt_drop': 12, 'distance': 31.62})
(7, 12, {'free_bw': 5.237999600239274, 'delay': 6.816267967224121, 'loss': 0.0009997616148061576, 'used_bw': 9.762000399760726, 'pkt_err': 0.0, 'pkt_drop': 9, 'distance': 30.0})
(7, 8, {'free_bw': 23.999904268049463, 'delay': 3.329038619995117, 'loss': 0.0, 'used_bw': 9.573195053848986e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 16.21344585541466, 'delay': 2.1866559982299805, 'loss': 0.003156951223586426, 'used_bw': 9.786554144585342, 'pkt_err': 0.0, 'pkt_drop': 22, 'distance': 38.08})
(8, 11, {'free_bw': 19.318214050165388, 'delay': 2.2853612899780273, 'loss': 0.0014367061957818112, 'used_bw': 9.681785949834614, 'pkt_err': 0.0, 'pkt_drop': 10, 'distance': 40.31})
(8, 10, {'free_bw': 23.999904268049463, 'delay': 2.6477575302124023, 'loss': 0.0, 'used_bw': 9.573195053849853e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(10, 9, {'free_bw': 21.15774695182918, 'delay': 2.2193193435668945, 'loss': 0.0024808714110524576, 'used_bw': 8.842253048170821, 'pkt_err': 0.0, 'pkt_drop': 13, 'distance': 31.62})
(10, 16, {'free_bw': 11.259538230884653, 'delay': 2.4938583374023438, 'loss': 0.00041416902093304884, 'used_bw': 8.740461769115347, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 41.23})
(9, 1, {'free_bw': 17.15670550614535, 'delay': 0.04279613494873047, 'loss': 0.0015479677599641681, 'used_bw': 8.84329449385465, 'pkt_err': 0.0, 'pkt_drop': 8, 'distance': 31.62})
(9, 2, {'free_bw': 20.999904268049463, 'delay': 2.121567726135254, 'loss': 0.0, 'used_bw': 9.573195053849853e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(12, 14, {'free_bw': 18.999856086348192, 'delay': 3.441929817199707, 'loss': 0.0, 'used_bw': 0.00014391365180892323, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(12, 11, {'free_bw': 23.999904067152993, 'delay': 2.294182777404785, 'loss': 0.0, 'used_bw': 9.593284700709008e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(12, 13, {'free_bw': 8.342349485463098, 'delay': 2.966165542602539, 'loss': 0.0017018358412111579, 'used_bw': 9.657650514536902, 'pkt_err': 0.0, 'pkt_drop': 15, 'distance': 31.62})
(16, 11, {'free_bw': 18.999856100729488, 'delay': 2.009868621826172, 'loss': 0.0, 'used_bw': 0.00014389927051063512, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.99})
(16, 17, {'free_bw': 8.083874475315369, 'delay': 4.938364028930664, 'loss': 0.000721252224105432, 'used_bw': 17.91612552468463, 'pkt_err': 0.0, 'pkt_drop': 10, 'distance': 50.0})
(16, 15, {'free_bw': 24.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088911e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(11, 15, {'free_bw': 29.999856115107914, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00014388489208633364, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 14, {'free_bw': 20.51941635018932, 'delay': 3.707766532897949, 'loss': 0.00048333344850900534, 'used_bw': 9.48058364981068, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 42.43})
(15, 14, {'free_bw': 27.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177823, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(15, 18, {'free_bw': 13.44408633093507, 'delay': 0, 'loss': 0.0005906090442940413, 'used_bw': 9.55591366906493, 'pkt_err': 0.0, 'pkt_drop': 7, 'distance': 20.0})
(15, 19, {'free_bw': 18.53884789126554, 'delay': 0, 'loss': 0.0005973728394329449, 'used_bw': 9.461152108734462, 'pkt_err': 0.0, 'pkt_drop': 9, 'distance': 53.85})
(15, 17, {'free_bw': 17.537155875299582, 'delay': 0, 'loss': 6.98610313796968e-05, 'used_bw': 9.46284412470042, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 44.72})
(14, 13, {'free_bw': 18.999856129483465, 'delay': 2.2029876708984375, 'loss': 0.0, 'used_bw': 0.0001438705165351182, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(14, 19, {'free_bw': 6.52245612632364, 'delay': 2.437472343444824, 'loss': 0.00089431157923964, 'used_bw': 9.47754387367636, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 31.62})
