(4, 3, {'free_bw': 12.341036770583425, 'delay': 3.528594970703125, 'loss': 0.0002474090138011244, 'used_bw': 5.658963229416574, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 33.54})
(4, 8, {'free_bw': 9.999904115061925, 'delay': 2.0241737365722656, 'loss': 0.0, 'used_bw': 9.588493807431353e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 5.396769784173065, 'delay': 3.250002861022949, 'loss': 0.0018499427358634945, 'used_bw': 5.603230215826935, 'pkt_err': 0.0, 'pkt_drop': 14, 'distance': 25.0})
(4, 5, {'free_bw': 26.999904115061927, 'delay': 2.5998353958129883, 'loss': 0.0, 'used_bw': 9.588493807431353e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.999904115061927, 'delay': 4.236102104187012, 'loss': 0.0, 'used_bw': 9.588493807431353e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.99990408632231, 'delay': 2.3581981658935547, 'loss': 0.0, 'used_bw': 9.591367769007878e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 20.78775868957245, 'delay': 1.949906349182129, 'loss': 0.0, 'used_bw': 2.2122413104275496, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 6, {'free_bw': 10.788543002697127, 'delay': 2.2557973861694336, 'loss': 0.0005360069966543941, 'used_bw': 2.2114569973028737, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 31.62})
(7, 12, {'free_bw': 12.788543002697127, 'delay': 3.0983686447143555, 'loss': 0.0004667914980293973, 'used_bw': 2.2114569973028737, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 30.0})
(7, 8, {'free_bw': 23.99985617259289, 'delay': 4.04047966003418, 'loss': 0.0, 'used_bw': 0.0001438274071114703, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.999904115061927, 'delay': 2.0509958267211914, 'loss': 0.0, 'used_bw': 9.588493807430485e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 11, {'free_bw': 27.346378983118488, 'delay': 2.149820327758789, 'loss': 0.0008867046125287525, 'used_bw': 1.6536210168815109, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 40.31})
(8, 2, {'free_bw': 24.334623638725148, 'delay': 1.9267797470092773, 'loss': 0.0017557501004236292, 'used_bw': 1.6653763612748502, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 38.08})
(10, 9, {'free_bw': 29.261821596244097, 'delay': 1.7075538635253906, 'loss': 0.001256605747943165, 'used_bw': 0.7381784037559045, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 31.62})
(10, 16, {'free_bw': 19.267870941963803, 'delay': 2.3251771926879883, 'loss': 0.0, 'used_bw': 0.7321290580361959, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
