(4, 3, {'free_bw': 8.038164170161897, 'delay': 2.9115676879882812, 'loss': 8.400406468481433e-05, 'used_bw': 9.961835829838103, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 33.54})
(4, 8, {'free_bw': 9.999856201318154, 'delay': 2.349972724914551, 'loss': 0.0, 'used_bw': 0.00014379868184541465, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 1.1463263431197532, 'delay': 2.7701854705810547, 'loss': 8.485029843912373e-05, 'used_bw': 9.853673656880247, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 25.0})
(4, 5, {'free_bw': 26.999808268424207, 'delay': 2.450704574584961, 'loss': 0.0, 'used_bw': 0.00019173157579388617, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.999904134212102, 'delay': 2.1015405654907227, 'loss': 0.0, 'used_bw': 9.586578789694309e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999808268424207, 'delay': 2.30562686920166, 'loss': 0.0, 'used_bw': 0.00019173157579388617, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 13.229121342254992, 'delay': 2.6453733444213867, 'loss': 0.0014067398055532584, 'used_bw': 9.770878657745008, 'pkt_err': 0.0, 'pkt_drop': 9, 'distance': 31.62})
(7, 6, {'free_bw': 3.2269689403774304, 'delay': 2.043604850769043, 'loss': 0.0009638333574788651, 'used_bw': 9.77303105962257, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 31.62})
(7, 12, {'free_bw': 5.228178567861702, 'delay': 1.8758773803710938, 'loss': 0.0006165517437421125, 'used_bw': 9.771821432138298, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 30.0})
(7, 8, {'free_bw': 23.99980824927594, 'delay': 1.5181303024291992, 'loss': 0.0, 'used_bw': 0.0001917507240587252, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.999904124637972, 'delay': 2.792477607727051, 'loss': 0.0, 'used_bw': 9.58753620293626e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 11, {'free_bw': 19.338789973034977, 'delay': 0, 'loss': 0.0018865759326399186, 'used_bw': 9.661210026965023, 'pkt_err': 0.0, 'pkt_drop': 8, 'distance': 40.31})
(8, 2, {'free_bw': 16.23333346649348, 'delay': 2.2073984146118164, 'loss': 0.0007418769823801913, 'used_bw': 9.76666653350652, 'pkt_err': 0.0, 'pkt_drop': 3, 'distance': 38.08})
(10, 9, {'free_bw': 21.18211783535087, 'delay': 3.187894821166992, 'loss': 0.0030752278565819554, 'used_bw': 8.81788216464913, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 31.62})
(10, 16, {'free_bw': 11.265724158593759, 'delay': 1.7255544662475586, 'loss': 0.0, 'used_bw': 8.734275841406241, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(9, 2, {'free_bw': 20.999904124637972, 'delay': 5.2623748779296875, 'loss': 0.0, 'used_bw': 9.58753620293626e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(9, 1, {'free_bw': 17.18211783535087, 'delay': 2.795100212097168, 'loss': 0.004488270675200021, 'used_bw': 8.81788216464913, 'pkt_err': 0.0, 'pkt_drop': 9, 'distance': 31.62})
(12, 14, {'free_bw': 18.999904124637972, 'delay': 2.685070037841797, 'loss': 0.0, 'used_bw': 9.58753620293626e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(12, 13, {'free_bw': 8.319273017775235, 'delay': 1.930832862854004, 'loss': 0.0013245103303730335, 'used_bw': 9.680726982224765, 'pkt_err': 0.0, 'pkt_drop': 8, 'distance': 31.62})
(12, 11, {'free_bw': 23.9950943773095, 'delay': 0, 'loss': 0.0, 'used_bw': 0.004905622690502386, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(16, 11, {'free_bw': 18.999904124637972, 'delay': 0, 'loss': 0.0, 'used_bw': 9.58753620293626e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.99})
